mean,median,lower_0025,upper_0975,mean_wql
[0.09166874 0.00393725 0.13911074 ... 0.27608338 0.33803956 0.27828766],[0.08830486 0.00628596 0.14727023 ... 0.29277588 0.34215005 0.28772558],[0.20028598 0.16107123 0.3269094  ... 0.04156477 0.19005516 0.06184417],[0.03021348 0.20761462 0.08798684 ... 0.39373016 0.48621165 0.43300973],0.1354653560810118
[0.01847938 0.11007554 0.03873809 ... 0.29667521 0.33353565 0.28589249],[0.01476688 0.09135433 0.04386909 ... 0.29580764 0.34275314 0.28949874],[0.25861662 0.43626913 0.38209527 ... 0.11564389 0.16696779 0.13677496],[0.15826705 0.09198756 0.30651446 ... 0.52101343 0.47804173 0.41187062],0.13412085821385591
[0.3365922  0.20477478 0.08634079 ... 0.29896266 0.33640231 0.29406416],[0.29331249 0.19080629 0.12231221 ... 0.2964142  0.34187508 0.29061763],[0.02345257 0.15039309 0.38176451 ... 0.13724686 0.16934634 0.17097388],[0.60687909 0.51298604 0.47877866 ... 0.44979033 0.45727075 0.42596314],0.1332102448759204
[0.15255573 0.22230688 0.17225727 ... 0.28967569 0.33803685 0.27586942],[0.15040716 0.2224507  0.15979354 ... 0.2961598  0.34606068 0.28661904],[0.1118457  0.12834857 0.08022057 ... 0.12614393 0.14855832 0.13680621],[0.2256125  0.29689942 0.28754979 ... 0.41410585 0.46454541 0.37863256],0.1329894424649526
[0.07323981 0.06641938 0.02580221 ... 0.26351478 0.3330197  0.24710864],[0.06541192 0.07591263 0.00184788 ... 0.28255466 0.34336175 0.28899419],[0.12763881 0.30124955 0.46865144 ... 0.10571125 0.18907286 0.08969776],[0.25192738 0.47025599 0.66490857 ... 0.36901671 0.44098674 0.42426992],0.1309780279233661
[0.04190896 0.03899459 0.00081716 ... 0.28281887 0.35025171 0.28532672],[0.04677198 0.03462256 0.00954698 ... 0.29591929 0.34804973 0.29214157],[0.32027777 0.33008182 0.31937123 ... 0.15553103 0.19167563 0.14789056],[0.19632869 0.18310647 0.30166334 ... 0.38287234 0.58316648 0.3965565 ],0.13011169292405234
[0.0418248  0.04828531 0.05334358 ... 0.29820082 0.34193692 0.29151347],[0.04103507 0.04851638 0.05241436 ... 0.29412199 0.34499574 0.28978398],[0.04217072 0.0276446  0.04831115 ... 0.12471038 0.20141368 0.17925326],[0.10422888 0.16385495 0.19973486 ... 0.45954521 0.47409214 0.39911414],0.12995113147328707
[0.01491107 0.00551342 0.02843056 ... 0.29096896 0.34314541 0.27557826],[0.01611909 0.00907989 0.02397692 ... 0.29485687 0.34553522 0.2879458 ],[0.05698881 0.06530798 0.07935147 ... 0.1640937  0.20428967 0.10602637],[0.03915774 0.06013744 0.1573625  ... 0.46286326 0.48935804 0.38871868],0.12953737336952245
[0.09950156 0.17751179 0.2616264  ... 0.28015259 0.34159282 0.28605389],[0.10035598 0.17804824 0.26182254 ... 0.29091044 0.34527654 0.28779238],[0.07178648 0.11794263 0.19065296 ... 0.12627366 0.1503647  0.09977125],[0.13178238 0.2203397  0.33998395 ... 0.41195064 0.53366458 0.42917299],0.12993724243455804
[0.27681452 0.28387492 0.37679373 ... 0.2836149  0.33220157 0.28537491],[0.2736437  0.28451393 0.37363066 ... 0.29501161 0.3409754  0.28742095],[0.19412075 0.13837842 0.25052525 ... 0.15341115 0.15965124 0.13311403],[0.37075454 0.39900149 0.51315076 ... 0.37274948 0.46213598 0.4445896 ],0.1290646129460726
[0.03681408 0.02527576 0.0283517  ... 0.28629517 0.33567257 0.28021756],[0.03832463 0.02685993 0.02856089 ... 0.293262   0.34210012 0.28901924],[0.06352266 0.05644951 0.0827924  ... 0.11564661 0.1936605  0.15872272],[0.00311829 0.01424999 0.00990938 ... 0.41551088 0.43726324 0.41505895],0.12878628862807526
[0.01083874 0.01627193 0.05369138 ... 0.28795503 0.33413165 0.27772497],[0.011089   0.01767045 0.05611282 ... 0.2956512  0.34353179 0.28815779],[0.03251673 0.05472329 0.09663748 ... 0.11264061 0.17456737 0.07423307],[0.01158923 0.02251566 0.00206445 ... 0.46159615 0.44640439 0.42295739],0.128647275764416
[0.07512041 0.16591533 0.23432365 ... 0.28602445 0.3388051  0.28176857],[0.0747121  0.16458754 0.26809585 ... 0.29457795 0.34404498 0.28736699],[0.1640223  0.25000656 0.51094801 ... 0.19050334 0.1910453  0.10293285],[0.27415964 0.59675127 1.27440668 ... 0.39551276 0.47786662 0.3827891 ],0.12841544560941873
[0.01617154 0.04474467 0.03820516 ... 0.29677914 0.33700806 0.29027631],[0.03657546 0.05669105 0.04727767 ... 0.29406754 0.34528248 0.29102032],[0.27520214 0.35735823 0.41271144 ... 0.15271994 0.17968356 0.15104899],[0.16981273 0.28618123 0.33186284 ... 0.51339168 0.50530056 0.43890713],0.12846160855913175
