mean,median,lower_0025,upper_0975,mean_wql
[0.11063337 0.09447151 0.12591358 ... 0.19826035 0.19847249 0.19917172],[0.10745994 0.12684909 0.15783492 ... 0.12822236 0.13054199 0.13998891],[0.23877592 0.24442452 0.28110333 ... 0.05786044 0.03549878 0.03838355],[0.12644324 0.21578238 0.0871421  ... 0.7800762  0.76916959 0.85464426],0.1050058461255803
[0.07326541 0.08617347 0.03822173 ... 0.27821321 0.19857017 0.24248823],[0.05311164 0.17282213 0.08617647 ... 0.20668573 0.16456155 0.21629893],[0.34793704 0.2441098  0.48589768 ... 0.00156054 0.03946817 0.00177074],[0.15810342 0.61422065 0.51430717 ... 0.7129674  0.89872906 0.90353242],0.10887425164202869
[0.01129583 0.14414211 0.22532524 ... 0.26619262 0.20244185 0.31304015],[0.02009748 0.09446873 0.14903326 ... 0.20668573 0.17832001 0.21914284],[0.27080254 0.33853904 0.57159255 ... 0.01389432 0.04459311 0.01663872],[0.35302706 0.22734187 0.11904124 ... 0.78110469 0.75723837 1.12585538],0.1088359549702009
[0.06187063 0.28999113 0.21950121 ... 0.26696816 0.23927698 0.34890079],[0.07512553 0.29933603 0.15628371 ... 0.16365677 0.19098148 0.21629893],[0.10631054 0.14007076 0.07346233 ... 0.00720199 0.03541337 0.00393686],[0.319457   0.54777653 0.61060565 ... 0.78318933 1.04611816 1.4546871 ],0.10890302430646276
[0.17470655 0.12804741 0.20342128 ... 0.27081295 0.19029807 0.30615158],[0.14542417 0.09402019 0.12483445 ... 0.20668573 0.19098148 0.21629893],[0.0377366  0.13789277 0.09136349 ... 0.01340523 0.04442449 0.00860969],[0.77593466 0.58062648 0.73237757 ... 0.92564839 0.6160126  1.1368283 ],0.10787555311245065
[0.34039551 0.47045121 0.59641685 ... 0.30254009 0.1703301  0.27581881],[0.19611951 0.46050172 0.65725431 ... 0.20668573 0.16317123 0.21629893],[0.05689071 0.07716358 0.04603063 ... 0.0475492  0.05578012 0.01120245],[1.10499816 1.19643573 1.32535787 ... 0.92376565 0.7179596  0.94067874],0.107277999126214
[0.66684387 0.7434735  0.61344939 ... 0.27590232 0.26529487 0.26398501],[0.00910665 0.84391477 0.61711422 ... 0.20668573 0.19098148 0.22151116],[0.29068014 0.12965672 0.23050567 ... 0.03684343 0.041674   0.06702641],[2.36026652 1.87765631 2.4219282  ... 0.80512317 0.75800363 0.93945649],0.10545371418933297
[0.14020951 0.11877722 0.22825357 ... 0.27638242 0.1985247  0.22775564],[0.14578069 0.13847263 0.20202988 ... 0.21342229 0.16603671 0.21629893],[0.36720329 0.32478444 0.46677862 ... 0.00406872 0.04544142 0.00821843],[0.30811478 0.34001146 0.26818517 ... 0.85060783 1.04428274 0.79497034],0.1056025974092319
[0.04424964 0.03602915 0.02659117 ... 0.26491896 0.18805199 0.25964089],[0.0170159  0.02758645 0.00682478 ... 0.18519099 0.19098148 0.21629893],[0.0347071  0.04753881 0.05656505 ... 0.02780076 0.04224109 0.00782268],[0.24201139 0.20317876 0.22547929 ... 0.79084923 0.78539665 1.02106084],0.10536478036634372
[0.05325502 0.12369753 0.14374571 ... 0.23807271 0.21378463 0.27924578],[0.0660158  0.09336634 0.07961835 ... 0.20668573 0.19170912 0.21644407],[0.07718666 0.00272083 0.01324287 ... 0.06267713 0.05250469 0.01465457],[0.29166616 0.41409494 0.40656686 ... 0.6369337  0.76397498 1.14424708],0.10500889722727388
[0.20516528 0.30659699 0.20568813 ... 0.23397772 0.24015021 0.22700522],[0.05845822 0.29482388 0.22531625 ... 0.16384837 0.19098148 0.21629893],[0.02618453 0.01823231 0.07855366 ... 0.06733328 0.03621918 0.01761636],[0.76175771 0.73914575 0.4615023  ... 0.78111592 0.89956426 0.79453299],0.10416826542732795
[0.00650266 0.07351708 0.03348225 ... 0.26888424 0.20875415 0.25066082],[0.00891391 0.06240158 0.015924   ... 0.20668573 0.19098148 0.21629893],[0.06679022 0.0235531  0.04349064 ... 0.01715377 0.04104955 0.00407214],[0.1253653  0.18779711 0.20778053 ... 0.78034962 0.84622301 0.94307511],0.1037949001459104
[0.20616318 0.35010469 0.42741464 ... 0.24252017 0.2210094  0.24452715],[0.11312309 0.35606759 0.46821127 ... 0.19522821 0.19098148 0.21629893],"[9.34480113e-02 4.49102758e-02 1.12458972e-01 ... 2.36402941e-02
 3.78580940e-02 4.92592282e-05]",[0.65416899 0.86391448 0.77644834 ... 0.86985043 0.90126979 0.80912243],0.10426925133377213
[0.28889045 0.31363798 0.23296497 ... 0.26156908 0.20576714 0.25605919],[0.13595755 0.2282777  0.11174734 ... 0.16005669 0.19098148 0.21629893],[0.0034474  0.00926577 0.03145742 ... 0.01121457 0.03977932 0.00061597],[1.08973052 1.28054072 1.06356469 ... 0.64671443 0.75893731 0.80537488],0.10381120768568668
[0.02842243 0.06054314 0.17131208 ... 0.26126743 0.17710042 0.2269518 ],[0.04114195 0.03835628 0.02518589 ... 0.20668573 0.08568085 0.21629893],[0.2574716  0.15560061 0.14594223 ... 0.03632313 0.05967668 0.0080428 ],[0.64290362 0.49351877 0.53564682 ... 0.85719207 0.88890208 0.79580887],0.10287119308287213
[0.18047072 0.17488275 0.14648585 ... 0.32940621 0.19087727 0.24100993],[0.17868503 0.16922719 0.12091243 ... 0.20668573 0.19098148 0.21629893],[0.10954193 0.08114835 0.05751125 ... 0.02047849 0.0310523  0.00810721],[0.32189765 0.34711465 0.35572288 ... 1.2113209  0.61563005 0.94270552],0.10311535015497182
[0.05041611 0.08094091 0.06869047 ... 0.28305361 0.21163929 0.2134474 ],[0.00920843 0.04318979 0.01979372 ... 0.20668573 0.14110982 0.17600841],[0.01997307 0.01915513 0.02024094 ... 0.0122948  0.02771056 0.01025236],[0.29132176 0.34618653 0.31304456 ... 0.9287492  1.04070878 0.79919477],0.10331081287427558
[0.5035236  0.66263084 0.81529571 ... 0.29876548 0.24008319 0.26045663],[0.35364519 0.71799611 0.88565145 ... 0.20668573 0.19098148 0.22250955],[0.06795499 0.0858358  0.14863586 ... 0.00106849 0.02662302 0.00565325],[1.39749594 1.48971994 1.50660431 ... 1.00452199 0.90120713 0.9309249 ],0.10445054326971126
[0.50331737 0.84491736 0.59755547 ... 0.32591338 0.25650662 0.25925796],[0.15890372 0.56282731 0.34679733 ... 0.20668573 0.19098148 0.21629893],[0.0468581  0.02820083 0.01671406 ... 0.01447469 0.0372437  0.00454761],[2.05949885 1.99887064 1.66746864 ... 1.27390169 0.89872906 0.93909155],0.10397180935537216
