mean,median,lower_0025,upper_0975,mean_wql
[0.01893447 0.00207953 0.05628525 ... 0.08279213 0.08311352 0.03892893],[0.025873   0.01669518 0.06553125 ... 0.10302821 0.1100032  0.07828407],[0.08056326 0.05862001 0.10545487 ... 0.12581004 0.13626268 0.10564406],[0.08621684 0.14583641 0.08537325 ... 0.13394495 0.15811177 0.39406923],0.06033527589163165
[0.07696305 0.20529956 0.19982653 ... 0.03891654 0.0766866  0.05158485],[0.08201223 0.20791747 0.17818039 ... 0.10938797 0.11543428 0.08694408],[0.18090144 0.29256985 0.37433952 ... 0.13804003 0.15869868 0.12503585],[0.10696004 0.09367619 0.02566271 ... 0.19376025 0.31641524 0.20025158],0.06306387446068162
[0.13242446 0.10171464 0.12267401 ... 0.08304812 0.09077147 0.05861852],[0.1520069  0.09961483 0.16141822 ... 0.09534997 0.09933815 0.07316168],[0.24062371 0.25931508 0.28899659 ... 0.12886752 0.12517978 0.1015751 ],[0.12644324 0.08294597 0.17976706 ... 0.00322706 0.03338236 0.06350796],0.06332225974479988
[0.08190777 0.08477608 0.11144102 ... 0.06461921 0.0754897  0.02995255],[0.08643966 0.09941559 0.13192406 ... 0.09151246 0.09465903 0.07335264],[0.1765064  0.23618388 0.25655382 ... 0.14887112 0.12805973 0.12103384],[0.08654777 0.15877256 0.11601683 ... 0.15535186 0.07177402 0.18667653],0.06758620140238768
[0.10589304 0.0602144  0.0999753  ... 0.07041958 0.0759804  0.03656995],[0.11665535 0.10529391 0.05056713 ... 0.07992048 0.08450624 0.05362679],[0.30978984 0.41455798 0.58533185 ... 0.16367885 0.13951615 0.12145628],[0.39162824 0.80851643 0.40320911 ... 0.10662193 0.04740717 0.13567879],0.06876117024488033
[0.12081729 0.03628293 0.09666942 ... 0.07456367 0.04872759 0.01745451],[0.14899646 0.05936195 0.00566032 ... 0.09200917 0.07711338 0.05531985],[0.41933522 0.4116161  0.55305979 ... 0.16953574 0.13230311 0.10707796],[0.13296058 0.37285412 0.49626219 ... 0.11791708 0.1584239  0.20701206],0.07258744966761205
[0.00211198 0.13144647 0.11213348 ... 0.07246135 0.06058302 0.03286117],[0.00957891 0.09262483 0.049583   ... 0.08451068 0.07916765 0.05739554],[0.30121557 0.42289075 0.43742776 ... 0.18536562 0.13821778 0.12472922],[0.38575267 0.3552846  0.30396009 ... 0.1070764  0.1139563  0.13608158],0.07384864025700401
[0.05963373 0.10699903 0.22611377 ... 0.03053129 0.03053419 0.05475441],[0.0593704  0.06744843 0.13203378 ... 0.07062827 0.08761913 0.03331383],[0.43893168 0.56841547 0.6726618  ... 0.22848718 0.14365034 0.12970804],[0.32493539 0.67579909 0.42636724 ... 0.44706341 0.33007749 0.60591653],0.07607737060926863
[0.03600922 0.17730062 0.34031568 ... 0.04026014 0.02828314 0.02994792],[0.07685949 0.13337884 0.25246469 ... 0.103653   0.08227929 0.018511  ],[0.45504401 0.61676566 0.74922219 ... 0.25938064 0.14745931 0.12531495],[0.85773667 0.29512355 0.17455061 ... 0.41724306 0.54769202 0.44704045],0.07833405083518352
[0.09587428 0.13983412 0.23192318 ... 0.02777273 0.01944641 0.10342241],[0.09535197 0.14263028 0.23913028 ... 0.08313688 0.09989139 0.02266176],[0.29221508 0.32068177 0.38429512 ... 0.25721113 0.15235643 0.14077603],[0.02960565 0.2704671  0.14283193 ... 0.55323928 0.41370875 0.88008398],0.0774210513383973
[0.04489517 0.00796684 0.11728871 ... 0.05221531 0.00304344 0.07246779],[0.03187031 0.00878765 0.10032314 ... 0.08890389 0.09522713 0.01808867],[0.23419703 0.23357288 0.41238899 ... 0.25916005 0.1355082  0.11275835],[0.29793753 0.56527945 0.49189849 ... 0.32293787 0.54769202 0.59267352],0.07695323373799484
