mean,median,lower_0025,upper_0975,mean_wql
[0.00678396 0.02842587 0.11259489 ... 0.37486684 0.37837728 0.31523395],[0.01564714 0.05224621 0.08753588 ... 0.41947341 0.35994463 0.28564539],[0.15505745 0.10472326 0.31732771 ... 0.41924007 0.51050243 0.37946235],[0.12171521 0.34526942 0.15668816 ... 0.78603333 1.19002981 1.03627091],0.13288101980358968
[0.03682983 0.17906489 0.20028807 ... 0.40763717 0.43620986 0.38817265],[0.04924853 0.14056809 0.12492193 ... 0.48248354 0.41376472 0.34056143],[0.36788046 0.63637937 0.76518552 ... 0.54084058 0.35894242 0.29295936],[0.46150491 0.62857392 0.51108652 ... 1.01049991 1.01434891 0.97188531],0.13884495925312712
[0.08029353 0.21842921 0.07973825 ... 0.44694562 0.49092239 0.40619579],[0.17524578 0.17889357 0.04943457 ... 0.4852118  0.41382595 0.33786209],[0.32262297 0.13347982 0.28080825 ... 0.29295202 0.21974474 0.39394193],[0.52356914 0.68662335 0.56056911 ... 1.23723776 1.11029617 1.28332205],0.13828517634353796
[0.31720494 0.52929153 0.33302439 ... 0.38551604 0.43089245 0.36905654],[0.3364138  0.58058375 0.44127854 ... 0.4827359  0.41442552 0.37212246],[0.1748144  0.13764309 0.267973   ... 0.59243677 0.69282271 0.45785474],[1.25167234 1.6023874  1.03845421 ... 1.03123481 1.19404179 0.84067239],0.13820957480635274
[0.43091682 0.85300799 0.86615461 ... 0.37614214 0.38833184 0.35473238],[0.0825958  0.79522617 1.09154124 ... 0.42781724 0.41297942 0.33946033],[0.49224624 0.10149383 0.16755868 ... 0.39173989 0.57325497 0.31514619],[2.19974363 1.93437554 2.07529493 ... 0.77478239 0.99004044 0.9295488 ],0.13527346663933723
[0.02059351 0.08234129 0.07648426 ... 0.36940936 0.4697352  0.4494457 ],[0.02623916 0.03555986 0.03695295 ... 0.42781724 0.41624131 0.35840056],[0.25309456 0.31005894 0.37710669 ... 0.49389718 0.56788631 0.28956173],[0.25097219 0.25193996 0.29497178 ... 0.9778755  1.59123886 1.05974754],0.13485935000842952
[0.00144886 0.09221504 0.09468231 ... 0.41346425 0.40794673 0.37496349],[0.03475075 0.06923307 0.05257952 ... 0.44618689 0.41504283 0.34327453],[0.19245828 0.00265227 0.01235872 ... 0.2638858  0.36075536 0.56897824],[0.19964219 0.20784499 0.38194534 ... 0.78046276 1.01554034 0.93081055],0.1349699394740101
[0.04934871 0.21700313 0.21146055 ... 0.42449325 0.44587754 0.34261887],[0.01398395 0.19009916 0.14596813 ... 0.48389847 0.41470019 0.338881  ],[0.28587919 0.04984064 0.03414715 ... 0.34637349 0.55378416 0.56030272],[0.71245138 0.56258712 0.71090393 ... 0.94503219 1.42352075 1.12890832],0.13480917603129566
[0.19673091 0.2676083  0.33642443 ... 0.40456515 0.45657621 0.41665488],[0.16595976 0.27084763 0.36588044 ... 0.48623153 0.41316374 0.3386943 ],[0.10702967 0.04809425 0.12123488 ... 0.2584528  0.18343371 0.33983181],[0.86444107 0.50693566 0.69487386 ... 0.85972344 1.08172423 1.08175184],0.1344992557412058
[0.54100606 0.84652209 1.0335485  ... 0.42618021 0.43163144 0.33734879],[0.62858376 0.77652938 0.74788417 ... 0.48851539 0.41522399 0.33876259],[0.36255374 0.21580236 0.26217725 ... 0.2956045  0.10155639 0.43756693],[2.18755016 1.92406911 1.90414669 ... 0.81885906 0.93479619 0.755312  ],0.13257935923830455
[0.03747826 0.22086216 0.19626167 ... 0.39976606 0.42749436 0.34008993],[0.01359994 0.18056139 0.15268675 ... 0.4443365  0.41543837 0.33788397],[0.34079708 0.02868555 0.04996856 ... 0.32154098 0.36862163 0.54278649],[0.5835989  0.60159789 0.81426695 ... 0.86063227 1.09862375 1.01225774],0.13130546972946178
[0.00845012 0.06626562 0.02204719 ... 0.37683753 0.49986727 0.35966523],[0.01255696 0.05466757 0.06347225 ... 0.48638296 0.42860822 0.33952257],[0.10682453 0.04721141 0.08948461 ... 0.48950751 0.14437834 0.2506758 ],[0.31343463 0.26787339 0.59142516 ... 0.92765441 1.14649249 0.8428064 ],0.13189374423411754
[0.57136338 0.9525943  1.05747938 ... 0.3770285  0.4201441  0.35963118],[0.45236652 1.07163901 1.16151341 ... 0.42781724 0.4167356  0.3383791 ],[0.10778811 0.11446621 0.09874493 ... 0.47897309 0.43979349 0.35390129],[1.74486399 1.56991523 2.35754574 ... 0.86098482 0.92517278 1.08046806],0.13134285691405795
[0.02530359 0.04862753 0.02519909 ... 0.40583996 0.4361437  0.36104109],[0.00196942 0.02019908 0.03451744 ... 0.44229456 0.41619647 0.3526557 ],[0.15276658 0.13939472 0.35523185 ... 0.5553321  0.28086551 0.59882385],[0.47186003 0.4199968  0.67934509 ... 0.86245617 1.02955766 0.84475632],0.13115915337018408
[0.05021371 0.12997805 0.12724158 ... 0.40042279 0.42230445 0.375276  ],[0.07398319 0.10333332 0.09996736 ... 0.42781724 0.41665701 0.33636994],[0.15597914 0.04991357 0.06981838 ... 0.44399136 0.34524704 0.45890223],[0.44410495 0.48356988 0.48187695 ... 0.95167864 1.13970019 1.09712858],0.13086092900943072
[0.00988475 0.05120629 0.05365074 ... 0.37106378 0.46808779 0.3393313 ],[0.00310635 0.04927888 0.08222634 ... 0.46605826 0.41736126 0.34367506],[0.07697992 0.15997753 0.16785094 ... 0.77654876 0.29656512 0.64121923],[0.23981894 0.14942704 0.14141882 ... 0.80516582 1.19497891 0.8428064 ],0.1311882226421246
[0.00781808 0.00287735 0.03242603 ... 0.48507804 0.37419736 0.36359716],[0.00174656 0.01321556 0.01173259 ... 0.48771023 0.40980944 0.34754668],[0.12048945 0.18495411 0.29094155 ... 0.29543958 0.58725476 0.4815809 ],[0.28458448 0.31226917 0.40169653 ... 1.18794124 1.02682422 0.98019235],0.13122346566139412
[0.04288853 0.01326276 0.02962218 ... 0.39490043 0.43184392 0.4041245 ],[0.0412517  0.01909528 0.02469533 ... 0.43150743 0.41082169 0.34810764],[0.09247166 0.07075079 0.13860947 ... 0.51659791 0.28008236 0.50602838],[0.08927631 0.11534715 0.12161124 ... 0.92532054 0.8369681  1.09637767],0.13148156635079897
[0.05016878 0.07692961 0.04176038 ... 0.41190007 0.5060384  0.39830797],[0.05856919 0.00384499 0.03024649 ... 0.48352877 0.41781793 0.34585509],[0.2750823  0.32781304 0.30292109 ... 0.3340052  0.2806198  0.4410992 ],[0.34331246 0.27161804 0.33099529 ... 0.86001869 1.45813328 1.18182814],0.13151823332258403
