mean,median,lower_0025,upper_0975,mean_wql
[0.02148743 0.05113844 0.01782657 ... 0.17951688 0.24943564 0.3003718 ],[0.02545873 0.03805496 0.00364062 ... 0.16449592 0.26050442 0.27653186],[0.17460625 0.33049589 0.31177834 ... 0.42829332 0.51394555 0.45551289],[0.14552259 0.12208147 0.30304673 ... 0.9514843  1.08035565 1.07110798],0.15616384208540696
[0.07969949 0.02107898 0.04194112 ... 0.14708118 0.2599446  0.35161636],[0.08586363 0.01753567 0.05353633 ... 0.14302513 0.25750995 0.31001273],[0.19987433 0.38472181 0.37705956 ... 0.64114997 0.85544739 0.48342561],[0.07208181 0.21664221 0.2607518  ... 0.92264179 1.00768814 1.32443317],0.15257274227767048
[0.04035344 0.04037054 0.08776954 ... 0.21272361 0.29392578 0.23818106],[0.03754586 0.05485586 0.10477944 ... 0.18805301 0.2935384  0.28377976],[0.12192352 0.26282179 0.23837961 ... 0.55055911 0.5225115  0.87003871],[0.21740302 0.2553985  0.35242887 ... 1.20471591 1.22664415 1.18565246],0.15189011031691013
[0.03390054 0.02409853 0.0137753  ... 0.15206784 0.24789648 0.29111705],[0.03730496 0.02275321 0.00196365 ... 0.1622452  0.22010125 0.29681824],[0.09632381 0.20032875 0.17717388 ... 0.7334743  0.62638438 0.87544231],[0.04186579 0.21617247 0.2689695  ... 0.86054664 1.09096913 1.23259087],0.1494659714548927
[0.2208684  0.24192261 0.32492426 ... 0.17233305 0.26432014 0.31459474],[0.22154041 0.22478033 0.29560418 ... 0.14587202 0.28087507 0.30656873],[0.0478291  0.08298276 0.06479868 ... 0.59199541 0.61515394 0.45402463],[0.31233301 0.44251828 0.66212695 ... 0.90092175 1.14429533 1.36193753],0.14877132850796193
[0.04784825 0.05228188 0.09462815 ... 0.18189815 0.27497283 0.33039526],[0.04792127 0.05321982 0.09221051 ... 0.16597686 0.25980675 0.31479626],[0.07728263 0.11400507 0.16633902 ... 0.48579473 0.3770812  0.53942221],[0.01043186 0.01189139 0.01805603 ... 0.94860955 1.0743897  1.20537176],0.14914735544154903
[0.05989843 0.03314663 0.04112116 ... 0.11335576 0.26425808 0.33550295],[0.06209406 0.02854487 0.05010529 ... 0.14560276 0.25070564 0.32628612],[0.12736578 0.28334942 0.42120884 ... 0.66914935 0.33429816 0.28258467],[0.23970079 0.37566528 0.45787671 ... 0.76871184 1.15679269 1.0797862 ],0.1481921273567296
[0.02747891 0.04620869 0.02537254 ... 0.25471281 0.25774366 0.31193352],[0.02989603 0.03958575 0.02798213 ... 0.20815881 0.25951793 0.29989919],[0.06545454 0.28633206 0.29313828 ... 0.34683222 0.46582854 0.91782737],[0.11951403 0.08981317 0.28452529 ... 1.02787702 0.99976828 1.75922918],0.14824274902157467
[0.03848966 0.00213514 0.00034625 ... 0.24563812 0.32170765 0.28781533],[0.0381621  0.01302308 0.00786662 ... 0.18670091 0.24699572 0.26668546],[0.09700206 0.08204279 0.13792277 ... 0.5972691  0.24802876 0.43358696],[0.01521345 0.08844901 0.09744232 ... 1.21381206 1.41315896 1.17559614],0.1481607390607818
[0.04439096 0.0133777  0.08510674 ... 0.16423352 0.24675387 0.37159556],[0.03904079 0.01706618 0.10156735 ... 0.15386963 0.25188693 0.30024122],[0.08241489 0.18161581 0.26321413 ... 0.43201414 0.57095443 0.48074943],[0.19766452 0.15868032 0.29211113 ... 0.87898886 1.14325948 1.59169871],0.1472833750203985
[0.04559461 0.04727956 0.09329842 ... 0.16390851 0.24158769 0.25270234],[0.04987534 0.05283926 0.09163392 ... 0.16885399 0.243245   0.28619734],[0.12738981 0.20010957 0.30426745 ... 0.63420675 0.91767613 0.51080881],[0.05192166 0.12259756 0.14206454 ... 0.88193863 1.3616985  1.26583072],0.14582407093193483
[0.02051944 0.00418722 0.01988952 ... 0.19963735 0.23371783 0.32766147],[0.02283772 0.02837268 0.02971721 ... 0.19976737 0.2376909  0.31396337],[0.09951109 0.13286303 0.11867609 ... 0.64731173 0.56033271 0.54240202],[0.10430808 0.11589133 0.15150549 ... 0.83274449 1.16594841 1.35524154],0.14611243284106282
[0.05032855 0.03214075 0.00423255 ... 0.17856306 0.29614111 0.33644684],[0.05052741 0.02984526 0.00823711 ... 0.14661423 0.27994426 0.29564928],[0.14760735 0.13859044 0.21068973 ... 0.76371282 0.85424567 0.51160028],[0.03702563 0.09739592 0.26499847 ... 1.39382557 1.3622826  1.6723011 ],0.14632570439013343
