mean,median,lower_0025,upper_0975,mean_wql
[0.00160772 0.04976561 0.11899164 ... 0.33749858 0.39852452 0.36493561],[0.01563454 0.05390715 0.09123025 ... 0.41938609 0.35998726 0.29949901],[0.15505745 0.10480021 0.31731006 ... 0.61108247 0.49372253 0.16199771],[0.25497621 0.34526942 0.15354737 ... 0.89046312 1.046536   0.92270395],0.1330933758187135
[0.039735   0.16073687 0.18439527 ... 0.39468508 0.37882657 0.35054334],[0.01140788 0.13274078 0.12007419 ... 0.42009134 0.35971772 0.29533474],[0.24653626 0.44519665 0.56728842 ... 0.13640853 0.43621666 0.34763487],[0.34576211 0.30851273 0.47776315 ... 0.74079688 1.11475377 0.94246314],0.13230608724554674
[0.4054968  0.43563876 0.29020338 ... 0.37117791 0.3949767  0.34269246],[0.43809535 0.48050765 0.38891244 ... 0.42062151 0.35966649 0.29112713],[0.07429105 0.19373433 0.30569032 ... 0.18144392 0.04216318 0.21392482],[1.30387499 1.31735666 0.77921372 ... 0.81372143 0.80016268 0.78432183],0.13264805945461908
[0.1770818  0.39271829 0.28489697 ... 0.36728548 0.41603759 0.33541822],[0.17919056 0.36750243 0.24785528 ... 0.41329635 0.3603383  0.28622602],[0.09591476 0.16392337 0.24779419 ... 0.26595172 0.3410367  0.3431077 ],[0.61821209 0.7013808  0.89218693 ... 0.77503262 1.25091598 0.93864072],0.13134329568319686
[0.23258434 0.40892219 0.27570565 ... 0.35003134 0.36094214 0.32371592],[0.29168309 0.34099733 0.22066106 ... 0.41110312 0.35881659 0.29073854],[0.39485821 0.11358962 0.14793348 ... 0.50562197 0.47964907 0.27420951],[1.20800597 1.17312086 1.09066935 ... 0.92330647 0.95985358 0.71599302],0.1288376475178087
[0.03117227 0.05191503 0.04138613 ... 0.3715922  0.35718657 0.32843764],[0.03516662 0.04333007 0.00377124 ... 0.42068941 0.36151225 0.29340066],[0.19334414 0.1927201  0.32646768 ... 0.65216385 0.49314793 0.35284468],[0.29235645 0.29335624 0.33781162 ... 0.81559128 0.87777104 0.86581728],0.12902514443436053
[0.06489703 0.1356789  0.12390649 ... 0.32734089 0.35601278 0.33466719],[0.0660158  0.12818045 0.0636572  ... 0.38896849 0.36063655 0.29092543],[0.07078504 0.01164221 0.01236423 ... 0.25401818 0.50695735 0.33035771],[0.40449144 0.41751103 0.53667776 ... 0.73892702 1.03169994 1.03001384],0.12922944742239653
[0.00083534 0.0382495  0.08127995 ... 0.3683024  0.38134892 0.30975418],[0.00512932 0.02297552 0.03671185 ... 0.4206828  0.36034755 0.29213541],[0.07515382 0.03350819 0.01547454 ... 0.3289059  0.29389642 0.43682653],[0.20212393 0.20360437 0.44308074 ... 0.88050365 0.93557572 0.72194088],0.12814395486708874
[0.08372263 0.23538399 0.28685374 ... 0.35910907 0.33786661 0.36225949],[0.02396939 0.24244509 0.30348659 ... 0.42131336 0.35892835 0.28595588],[0.01445039 0.02487488 0.09086574 ... 0.31177011 0.50912946 0.31005127],[0.30626597 0.493413   0.48957969 ... 0.81540906 0.955857   1.14132786],0.12837569473298568
[0.41532705 0.47681935 0.45732895 ... 0.35590612 0.39804426 0.2963435 ],[0.31570393 0.31784758 0.37102898 ... 0.37735055 0.36074993 0.28591664],[0.22259992 0.22706151 0.29174528 ... 0.26556519 0.22910189 0.19820161],[0.76387141 1.00671451 1.01995592 ... 0.9721522  0.9561723  0.72194088],0.1272175580308922
[0.01269089 0.01495622 0.00442339 ... 0.3292467  0.41512836 0.32640771],[0.03202615 0.00963333 0.02066032 ... 0.36495558 0.36728392 0.29900499],[0.07200833 0.03657005 0.08799626 ... 0.38994655 0.13056338 0.39534494],[0.10248552 0.18630255 0.18128304 ... 0.88862643 1.11073629 0.94652747],0.12638368723429957
[0.00545868 0.03399645 0.00484295 ... 0.39913438 0.4456723  0.30690733],[0.02472727 0.00047377 0.05881562 ... 0.42218278 0.40089473 0.30048772],[0.04072955 0.05626719 0.10189038 ... 0.2496771  0.41278546 0.45371696],[0.21168781 0.27317999 0.23816529 ... 1.10603543 1.26795052 0.88565126],0.12612642983238176
[0.56589377 0.92344619 0.8021916  ... 0.3648362  0.35945411 0.29761519],[0.03084025 0.98428893 0.90074992 ... 0.41977201 0.36181608 0.29478277],[0.51599746 0.13439246 0.14433553 ... 0.20559201 0.15165921 0.4308592 ],[2.35772586 2.74220139 2.14923784 ... 0.81208079 0.87906433 0.79666151],0.12637879184967418
[0.05450918 0.00594629 0.04813395 ... 0.3336217  0.36044449 0.36609677],[0.07687074 0.03799103 0.04354181 ... 0.42121657 0.36138826 0.32082545],[0.15788444 0.31513318 0.47038185 ... 0.3836647  0.7177359  0.13328801],[0.47131648 0.6950768  0.54496947 ... 0.81421034 0.8097765  0.87201102],0.12655318396244197
[0.17074597 0.28669281 0.23530176 ... 0.36882975 0.38518584 0.34076987],[0.01321178 0.24432038 0.11706457 ... 0.42303058 0.36159807 0.2912731 ],[0.13220694 0.00766211 0.02268727 ... 0.24982233 0.4489038  0.35690268],[0.53363763 1.55737504 1.15943412 ... 0.73892702 1.00903088 1.09465518],0.12597420391752542
[0.00835056 0.03854145 0.03669822 ... 0.41537064 0.40574023 0.30903749],[0.00632711 0.05140126 0.05583309 ... 0.42162123 0.3624436  0.2918141 ],[0.04081633 0.12340056 0.12873717 ... 0.25867211 0.3020507  0.47287507],[0.12274611 0.04094628 0.03602955 ... 1.05105483 1.18744216 1.01955692],0.12630084922279253
[0.07910228 0.0464522  0.08855766 ... 0.36542388 0.40946192 0.36242936],[0.07971548 0.08211998 0.09727998 ... 0.3665845  0.35631817 0.2978117 ],[0.16853411 0.13360391 0.25185673 ... 0.10632397 0.09399133 0.26271359],[0.08348798 0.17239157 0.17912123 ... 0.81551497 0.92979109 1.00430874],0.12630830782989785
[0.01305859 0.03121721 0.02671766 ... 0.34623974 0.40781581 0.29433887],[0.01058006 0.02208059 0.00988624 ... 0.42193037 0.35763354 0.29763736],[0.07388231 0.01868615 0.02474452 ... 0.4953459  0.23811225 0.31519576],[0.07258064 0.10416791 0.15010859 ... 0.88902434 1.04770142 0.79636684],0.1265417069160463
[0.00737785 0.03943198 0.02588652 ... 0.36454072 0.36613265 0.36868199],[0.01381038 0.04805111 0.07997741 ... 0.41920411 0.35393297 0.29731451],[0.16511567 0.10688845 0.25233904 ... 0.15869249 0.42293602 0.25183538],[0.1377935  0.27254749 0.44417719 ... 0.73936285 0.92894249 0.95286453],0.12646792718078495
[0.01407813 0.03618282 0.02834138 ... 0.39174516 0.46286711 0.34568156],[0.02072002 0.05613961 0.00046679 ... 0.4209763  0.36223339 0.30715617],[0.07041563 0.1114879  0.05205401 ... 0.13571644 0.17542008 0.44292897],[0.13717317 0.09401408 0.26421923 ... 0.81377893 0.87861496 1.09691515],0.12670240322947793
[0.1139091  0.20001392 0.14042646 ... 0.38463793 0.41345923 0.29970302],[0.05209869 0.16859489 0.09586365 ... 0.41863989 0.36062177 0.28534755],[0.06973204 0.02025009 0.0694786  ... 0.33440809 0.40687728 0.47641188],[0.7115036  0.65660471 0.62221452 ... 1.14106466 1.11247485 0.97230531],0.12683817013271168
[0.13583223 0.20997446 0.15655844 ... 0.32278513 0.40969128 0.31040258],[0.03927424 0.24688222 0.20546464 ... 0.42045512 0.36087276 0.28851854],[0.08882682 0.12696126 0.16066454 ... 0.69372131 0.32905946 0.45672485],[0.47736012 0.58926488 0.529401   ... 0.74238143 1.01882515 0.85608462],0.1260960780022492
[0.06216258 0.11212163 0.11379203 ... 0.38514109 0.45757956 0.36073021],[0.03265156 0.04739411 0.01838092 ... 0.41110701 0.3598231  0.29044079],[0.09305752 0.07469881 0.10091983 ... 0.33772145 0.26660158 0.20620072],[0.31070769 0.51554226 0.48901203 ... 1.22921625 1.42033355 0.9453611 ],0.126329540899845
