mean,median,lower_0025,upper_0975,mean_wql
[0.22526631 0.32732444 0.22618197 ... 0.09104905 0.03945667 0.00609061],[0.2452335  0.34061849 0.30704728 ... 0.07795957 0.02392538 0.01216037],[0.65217259 0.81118055 0.80124318 ... 0.68311433 0.90257069 0.77857188],[0.34703516 0.25768285 0.45728495 ... 1.06119393 1.02844335 0.78809096],0.09459097251882792
[0.11481002 0.01233208 0.16006991 ... 0.07789187 0.06583393 0.07661277],[0.09853575 0.00199495 0.03936325 ... 0.07462595 0.06440982 0.0431008 ],[0.08643966 0.17573186 0.52127354 ... 0.24617826 0.20763553 0.14264376],[0.51934251 0.30439919 0.25495842 ... 0.33811701 0.32013507 0.37828088],0.0839431074457451
[0.01203118 0.12982918 0.02764737 ... 0.08602197 0.08355854 0.07783321],[0.01086123 0.2061035  0.14295711 ... 0.07202832 0.03927996 0.03210332],[0.34793704 0.25348377 0.6277698  ... 0.20296903 0.44246969 0.36136363],[0.32678362 0.81944407 0.71164113 ... 0.63626192 0.61045993 0.49327459],0.08474382066362596
[0.06213002 0.07165171 0.03009957 ... 0.05609371 0.0700353  0.03099797],[0.07293429 0.06294846 0.06830848 ... 0.04861175 0.01257862 0.01674656],[0.43928958 0.45388182 0.45235557 ... 0.30674201 0.42812129 0.32922583],[0.23082364 0.21310091 0.54643458 ... 0.52215753 0.53804725 0.64296657],0.08452492328191658
[0.0401183  0.00285727 0.1137481  ... 0.08088352 0.04003833 0.02862778],[0.07132404 0.00609112 0.16688887 ... 0.0629397  0.02792251 0.03332643],[0.15025343 0.17420352 0.29082904 ... 0.33145126 0.3772484  0.34222532],[0.1495438  0.37076436 0.32732479 ... 0.57873034 0.629639   0.388872  ],0.08435196370446701
[0.07861554 0.22633864 0.17139354 ... 0.06292721 0.03770285 0.13842924],[0.07229869 0.22061405 0.1860477  ... 0.0787328  0.04016594 0.0531761 ],[0.02511797 0.09084686 0.07393466 ... 0.49052813 0.37151387 0.28618847],[0.1737242  0.31424954 0.23871213 ... 0.44326413 0.43714063 1.25177607],0.08457254130569772
[0.03551112 0.02239395 0.01092256 ... 0.07134343 0.08194766 0.10009952],[0.02160469 0.0165736  0.01387957 ... 0.07026887 0.05168608 0.02818442],[0.05630446 0.09076627 0.1184945  ... 0.38749185 0.26217034 0.46731545],[0.12765806 0.11085142 0.07837356 ... 0.67115913 0.64531849 1.05661313],0.08394831686704302
[0.00709168 0.02429872 0.02521059 ... 0.09036873 0.01324039 0.29530176],[0.00079369 0.01435    0.018737   ... 0.07020744 0.04401982 0.02836919],[0.07079159 0.04872467 0.05314058 ... 0.19772019 0.50361861 0.37672807],[0.07122316 0.09109515 0.09530885 ... 0.41123149 0.44048628 0.67668774],0.08430505771184493
[0.28211127 0.29390387 0.4439444  ... 0.15996053 0.20228949 0.0282469 ],[0.25283984 0.27340232 0.40037487 ... 0.08056538 0.05600448 0.03608713],[0.12688085 0.13803774 0.23814334 ... 0.36933958 0.26938498 0.36734083],[0.4535046  0.47534595 0.68440304 ... 1.13208596 0.57229487 0.41081647],0.08387735194499764
[0.37266896 0.34350223 0.35475148 ... 0.09644065 0.31251804 0.08578187],[0.32630899 0.26320487 0.23971767 ... 0.06025188 0.01721276 0.01978605],[2.07621644 1.78787476 1.67114055 ... 0.2197697  0.26144183 0.49382836],[2.81165375 2.49218172 2.72602536 ... 0.68682728 0.51252511 0.47887173],0.08306839644077564
[0.27577448 0.26880919 0.19347855 ... 0.07871887 0.0925152  0.04617134],[0.22433148 0.18336746 0.23912652 ... 0.05587943 0.03772933 0.04500711],[1.25727466 2.19644706 1.11309478 ... 0.4572121  0.29210268 0.32931203],[1.81798711 0.90290969 0.98853191 ... 0.64014063 0.78363012 0.4623716 ],0.08266395947349403
[0.14113967 0.11437715 0.21404309 ... 0.05781993 0.0437526  0.02820384],[0.14040529 0.13340678 0.17958627 ... 0.05609461 0.03865389 0.00678897],[0.27811025 0.38614604 0.46800716 ... 0.29321185 0.32684949 0.39595331],[0.16155854 0.34001146 0.21692045 ... 0.5078721  0.59746509 0.45743409],0.08260204067557392
[0.04670718 0.07205036 0.00991049 ... 0.0913289  0.13229475 8.19919847],[0.04293569 0.08293592 0.08568795 ... 0.06935646 0.06223663 0.03434627],[0.1351027  0.10793432 0.48002211 ... 0.22952205 0.2226931  0.32560234],[0.22447948 0.46177212 0.41393009 ... 0.56127264 0.71051007 0.48206494],0.08196944752442265
[0.10641836 0.12335169 0.10934883 ... 0.21661021 0.04848141 0.07922115],[0.09520122 0.11621515 0.11419668 ... 0.07633366 0.03598505 0.01923621],[0.06377039 0.05045649 0.05421845 ... 0.35645511 0.24175272 0.2635696 ],[0.27254321 0.27378588 0.25984532 ... 0.52704091 0.41557624 0.7735969 ],0.08202317506954088
[0.03842806 0.05778689 0.06102086 ... 0.08289619 0.07465922 0.16204282],[0.02978891 0.0344838  0.05623569 ... 0.06015174 0.04758485 0.04847359],[0.09710337 0.03170949 0.08080634 ... 0.29759819 0.30978185 0.26141747],[0.16168425 0.17671747 0.14933156 ... 0.43529467 0.59773804 0.75989624],0.08196021708335338
[0.02317676 0.1443609  0.13481699 ... 0.16458086 0.02783217 0.08299165],[0.00599476 0.13819563 0.11482699 ... 0.06947756 0.02900851 0.04457745],[0.10124355 0.00502294 0.02706256 ... 0.23304013 0.50245157 0.21769096],[0.13916906 0.26494933 0.2464051  ... 0.9815762  0.39742783 0.83637615],0.08141132176493923
[0.0559636  0.0365977  0.00553309 ... 0.0968592  0.14744306 0.0815492 ],[0.03639551 0.02391825 0.00745147 ... 0.07667435 0.06355835 0.02276882],[0.05348754 0.09075898 0.11201123 ... 0.25634824 0.22241388 0.27296724],[0.13485966 0.12960154 0.10298771 ... 0.54074836 0.81264239 0.58310273],0.08163936164826185
[0.01326161 0.04463529 0.00631468 ... 0.10697601 0.04028771 0.11903299],[0.01332504 0.03388438 0.01043826 ... 0.04757277 0.03280843 0.03117059],[0.06008988 0.02009757 0.04084189 ... 0.28289147 0.38862901 0.28826345],[0.02786251 0.10580855 0.05429228 ... 0.66748846 0.50355872 0.59310174],0.08176797662022002
