mean,median,lower_0025,upper_0975,mean_wql
[0.08771778 0.19615523 0.22927093 ... 0.15447522 0.12946854 0.11541404],[0.08996353 0.19670324 0.1973507  ... 0.12334311 0.10639568 0.09714457],[0.18090144 0.28511613 0.37427901 ... 0.0032531  0.00392583 0.00178801],[0.04938774 0.03221818 0.07674528 ... 0.3864186  0.31141335 0.29628929],0.08528554743744506
[0.08131984 0.07831824 0.10399444 ... 0.14459805 0.12532868 0.09275335],[0.08643966 0.10200761 0.11256917 ... 0.16064185 0.13356925 0.07659969],[0.16702806 0.22155862 0.25135694 ... 0.00940346 0.02492684 0.01809092],[0.06500588 0.15877256 0.11601683 ... 0.34190631 0.28560845 0.26720004],0.08941549053184239
[0.06579412 0.10913424 0.08117966 ... 0.14843213 0.13296346 0.09840363],[0.08489543 0.13706429 0.00635926 ... 0.15006182 0.15024519 0.07537272],[0.34793704 0.24913314 0.48005926 ... 0.00157611 0.02557192 0.04057801],[0.32678362 0.61422065 0.51430717 ... 0.37165148 0.33716786 0.36610034],0.08919602762727209
[0.03973754 0.05241516 0.1440309  ... 0.15127179 0.12672657 0.09181397],[0.05093163 0.03304785 0.06592714 ... 0.17350988 0.14459615 0.06102102],[0.17663024 0.27633459 0.57970501 ... 0.01069116 0.04359331 0.0566687 ],[0.42977754 0.40570529 0.27654317 ... 0.3635541  0.2907878  0.32045958],0.08908606857053519
[0.0836444  0.00634857 0.14986761 ... 0.14813218 0.13921078 0.10887249],[0.07132404 0.01385796 0.17713719 ... 0.13586996 0.14437017 0.06480815],[0.26341351 0.24102596 0.37194674 ... 0.00501583 0.0392187  0.04698335],[0.15255971 0.17029764 0.15618781 ... 0.41040849 0.36906265 0.45125696],0.08874369122975584
[0.05862198 0.30224555 0.21090745 ... 0.14065538 0.14390852 0.08319873],[0.07849898 0.29124684 0.15628371 ... 0.15329551 0.15024519 0.06134977],[0.13296979 0.14453348 0.07891672 ... 0.00857743 0.03485807 0.05594977],[0.27094098 0.49478496 0.5883905  ... 0.33992134 0.38244731 0.32020902],0.08804540380633376
[0.01391188 0.09459424 0.04395241 ... 0.13828947 0.13732852 0.1111958 ],[0.04044246 0.080196   0.00077469 ... 0.14280488 0.13840388 0.09075271],[0.20379472 0.08948082 0.11716398 ... 0.00818371 0.03366281 0.04517929],[0.32772595 0.31755365 0.4152704  ... 0.3263892  0.42889786 0.36610034],0.08751988752540446
[0.02253731 0.06217294 0.0574655  ... 0.1449414  0.12949565 0.08693729],[0.01798886 0.03763637 0.03611258 ... 0.14715659 0.14227788 0.06185995],[0.05928947 0.06791255 0.0785669  ... 0.01837347 0.02000496 0.05088636],[0.22026532 0.34507105 0.25671766 ... 0.39020988 0.33600684 0.32020902],0.08691339662852277
[0.23526856 0.3615286  0.48336469 ... 0.14098852 0.1252409  0.08159958],[0.16863839 0.42039286 0.5287818  ... 0.16629708 0.12857406 0.06195061],[0.05041452 0.08256372 0.03184028 ... 0.01879249 0.02652838 0.0502441 ],[0.74347949 0.69473283 1.15993784 ... 0.31564906 0.33600684 0.22842647],0.08653894792989875
[0.47076502 0.73051287 0.60461802 ... 0.13471844 0.13083661 0.09525582],[0.17729566 0.81370717 0.67777717 ... 0.13362952 0.13166603 0.06200161],[0.02982012 0.05896933 0.11388579 ... 0.0066192  0.02361944 0.03762515],[1.59337121 1.41361164 1.71369542 ... 0.31564906 0.40345253 0.32897538],0.08545847265212651
[0.08791594 0.00451643 0.01673264 ... 0.13313497 0.11702134 0.09595031],[0.06922692 0.02092127 0.0141005  ... 0.13078832 0.11753836 0.0638237 ],[0.3329504  0.18196813 0.2007892  ... 0.00828866 0.03586129 0.02387991],[0.15612252 0.15402312 0.31563979 ... 0.31564906 0.28956648 0.35139169],0.08451635711488802
[0.16452499 0.08808938 0.24345143 ... 0.14044499 0.13960404 0.07951292],[0.17112034 0.11106581 0.19906828 ... 0.14086098 0.13189086 0.06316192],[0.35020559 0.29013855 0.47453406 ... 0.00635857 0.01886671 0.0537642 ],[0.16155854 0.1921083  0.1261025  ... 0.31564906 0.34986133 0.27510175],0.08428531127837773
[0.02958314 0.07938272 0.00811453 ... 0.13359585 0.12297028 0.07615194],[0.02271875 0.07644245 0.02409208 ... 0.15389877 0.12231674 0.0634627 ],[0.13260952 0.07173907 0.19624549 ... 0.0027204  0.03705039 0.04328426],[0.18193023 0.42694693 0.27268019 ... 0.27344266 0.26259306 0.22842647],0.08379740464277705
[0.13419914 0.1919344  0.20132476 ... 0.13419884 0.127413   0.09528487],[0.11310565 0.22683269 0.27361927 ... 0.15148548 0.12719145 0.06390354],[0.22836207 0.23552266 0.38934935 ... 0.0009109  0.00719637 0.05215797],[0.54621643 0.56198408 0.72946112 ... 0.31564906 0.32377962 0.36724762],0.08355088870050106
[0.05084453 0.10127552 0.10104065 ... 0.13746875 0.11384806 0.08410885],[0.03801986 0.08512222 0.08549127 ... 0.13535212 0.1187319  0.0635734 ],[0.10417464 0.0154818  0.03248523 ... 0.00743858 0.02874482 0.05895534],[0.29183891 0.30049819 0.3140716  ... 0.35715071 0.28956648 0.3213445 ],0.08335727857028435
[0.02443121 0.22866116 0.19654904 ... 0.13972031 0.12568326 0.08466807],[0.0304843  0.2114075  0.17919849 ... 0.14218827 0.13372506 0.06412268],[0.08984279 0.11124943 0.04190054 ... 0.00254379 0.0198659  0.0568534 ],[0.21653366 0.48403149 0.46683747 ... 0.31564906 0.37108191 0.27476435],0.08304029099405526
[0.02768275 0.0879786  0.02095357 ... 0.13834915 0.12623531 0.07964902],[0.02722802 0.06401959 0.01662304 ... 0.14100963 0.13689335 0.06438493],[0.13105629 0.04326727 0.12903458 ... 0.01569306 0.04843755 0.06969057],[0.17846826 0.41687184 0.25095305 ... 0.37222542 0.33791609 0.32020902],0.08302923083046089
[0.00437789 0.08991255 0.03889355 ... 0.1293445  0.12834861 0.08110156],[0.00768552 0.07229441 0.02130864 ... 0.14828162 0.12217708 0.06469179],[0.08810404 0.01868948 0.05841154 ... 0.00396519 0.02609301 0.05727577],[0.12374735 0.19794479 0.22733863 ... 0.28999999 0.29103123 0.32020902],0.08336161328921005
[0.1236578  0.141852   0.14253456 ... 0.13123357 0.1111139  0.0959364 ],[0.10013601 0.08894566 0.13495844 ... 0.14678984 0.11888406 0.06583644],[0.02307367 0.04083107 0.06343399 ... 0.02668869 0.06103803 0.03873349],[0.38592718 0.73437964 0.40176705 ... 0.31584958 0.28956648 0.37871704],0.08307584167319434
[0.25328618 0.29165697 0.35545097 ... 0.1188035  0.12978788 0.08918818],[0.07188756 0.34427147 0.43070233 ... 0.10172375 0.11705768 0.06668717],[0.09016144 0.22640924 0.30732367 ... 0.01313399 0.04597143 0.05636543],[0.89079905 0.84337903 1.06383114 ... 0.31619935 0.38284697 0.32568899],0.08306809810487506
[0.2125391  0.26038761 0.13139439 ... 0.13328303 0.12363638 0.10093145],[0.13443304 0.22463079 0.05138527 ... 0.13576205 0.12953678 0.06531751],[0.0230803  0.02635072 0.01765835 ... 0.02429452 0.04908963 0.06104635],[0.94643975 0.95401228 0.75601216 ... 0.36302872 0.33710746 0.36620758],0.08331124983902474
[0.11085721 0.25184666 0.10576736 ... 0.14220684 0.14189541 0.07710173],[0.04914327 0.29565815 0.18758021 ... 0.15784134 0.14441292 0.06540518],[0.19191988 0.23160282 0.29667734 ... 0.04139226 0.034034   0.09582534],[0.80567941 0.79974262 0.53640107 ... 0.36367847 0.38360832 0.36610034],0.08349590097595243
[0.07222378 0.193843   0.12055303 ... 0.12765594 0.12107383 0.10361225],[0.02405352 0.04356129 0.04177148 ... 0.12897541 0.10990446 0.06430441],[0.22638888 0.18920606 0.25462599 ... 0.01032962 0.03021776 0.05830075],[0.81288163 0.8847168  0.93082318 ... 0.31683356 0.38244731 0.34149895],0.08265875471943976
[0.1913191  0.17872725 0.14030769 ... 0.1330402  0.12431676 0.09583358],[0.18732779 0.1914085  0.10920348 ... 0.13598058 0.13524894 0.0667631 ],[0.11339793 0.06039502 0.00758715 ... 0.01221365 0.04017123 0.02761279],[0.35067284 0.34638583 0.39747358 ... 0.36359094 0.3361081  0.32020902],0.08235135038300469
[0.03675864 0.19044658 0.06367998 ... 0.15312448 0.10860401 0.0825642 ],[0.01217021 0.05851688 0.03572982 ... 0.14001936 0.10641033 0.06606593],[0.07406825 0.00791939 0.025515   ... 0.01665879 0.03669786 0.05412558],[0.2621201  0.29758367 0.31141481 ... 0.41159298 0.29044148 0.32020902],0.08278493439863537
