mean,median,lower_0025,upper_0975,mean_wql
[0.03203909 0.20204593 0.19441425 ... 0.39301724 0.58124034 0.54081711],[0.04088882 0.19661403 0.11656577 ... 0.34732859 0.39955865 0.46084187],[0.30818183 0.58099647 0.80262257 ... 0.13942223 0.08962669 0.05564586],[0.65224464 0.4642385  0.68553037 ... 1.375677   1.53915236 1.86415516],0.1769509548073325
[0.23536101 0.46219835 0.36785415 ... 0.33163611 0.5428357  0.4540493 ],[0.01539741 0.53414411 0.39663642 ... 0.24280015 0.34999771 0.39541759],[0.17666032 0.2498086  0.30262948 ... 0.13413639 0.09095098 0.05631323],[1.02857811 1.38943644 1.44179531 ... 1.30548856 1.7211017  1.49332592],0.17265649071383377
[0.03960977 0.08846335 0.07847416 ... 0.32183744 0.53860618 0.48223636],[0.02721201 0.10461057 0.05289221 ... 0.25596022 0.39886294 0.39152713],[0.25309456 0.25251674 0.46249123 ... 0.12799331 0.15418269 0.05385597],[0.25097219 0.25193996 0.331556   ... 1.45079488 1.64421626 1.72347717],0.16718474252950283
[0.07676711 0.18937952 0.20723953 ... 0.36322269 0.56099065 0.483422  ],[0.01314138 0.17865916 0.14530539 ... 0.26682355 0.35175313 0.4162    ],[0.28850463 0.0880851  0.0849218  ... 0.11728358 0.10812728 0.04608667],[0.74511262 0.55767452 0.79994643 ... 1.46747717 1.66982707 1.49332592],0.16437237024910029
[0.51177193 0.77657458 0.8298129  ... 0.35301589 0.46838949 0.52209906],[0.2613805  0.72008415 0.69903677 ... 0.25632515 0.3266247  0.40753454],[0.33173643 0.14817577 0.21378279 ... 0.10996642 0.10536446 0.04061922],[2.04044978 2.0784541  2.2699367  ... 1.67156365 1.32347071 1.60904298],0.16091968064889972
[0.01207475 0.14260824 0.03544456 ... 0.35824588 0.58216228 0.42195618],[0.03301717 0.02192719 0.06427698 ... 0.25983825 0.41520198 0.36235805],[0.11005252 0.06174222 0.13876201 ... 0.10319566 0.13641688 0.05366134],[0.36179964 0.21929545 0.22284388 ... 1.36350789 1.86840824 1.50387775],0.15804731257336563
[0.03459341 0.02528616 0.06918713 ... 0.32000209 0.48237003 0.46226489],[0.02866736 0.03334045 0.0448481  ... 0.24867531 0.3266247  0.33298896],[0.27768266 0.27859363 0.32638291 ... 0.10140588 0.10132421 0.03717239],[0.47186003 0.4199968  0.41035621 ... 1.33981774 1.94242004 1.72945879],0.15653888428163143
[0.02691847 0.05996151 0.07077609 ... 0.33522582 0.52790263 0.45349449],[0.0076831  0.05236767 0.08222634 ... 0.23730723 0.32567815 0.36437911],[0.147261   0.21214187 0.23077973 ... 0.09988193 0.03823765 0.03544718],[0.11835623 0.0712374  0.14141882 ... 1.44443926 2.38524627 1.71404956],0.1557680341100733
[0.05847417 0.01558135 0.03842612 ... 0.3443359  0.46322609 0.44177545],[0.06192926 0.03079143 0.04180153 ... 0.23941462 0.32209827 0.40273949],[0.10581088 0.08279521 0.13912841 ... 0.09610577 0.06913812 0.03597453],[0.01319768 0.11534715 0.11927682 ... 1.68577254 1.49439232 1.49477333],0.1556700479648578
[0.00223348 0.05804482 0.0238406  ... 0.3461563  0.55946678 0.44391768],[0.01949821 0.07745299 0.02465496 ... 0.28037387 0.30472111 0.35201742],[0.14040958 0.17303357 0.20872347 ... 0.09957001 0.05311759 0.03693518],[0.25293632 0.25212979 0.33015815 ... 1.29604669 2.39142115 1.72349722],0.1538721935945332
[0.18564299 0.28698364 0.29076934 ... 0.31333284 0.54064237 0.43188381],[0.0150862  0.30437879 0.34741797 ... 0.23730723 0.32760715 0.36191583],[0.21530987 0.09993771 0.18151166 ... 0.10609946 0.0524725  0.03898539],[0.9559841  0.81662974 0.88625937 ... 1.4517159  2.47642506 2.06983228],0.15298199406385415
"[9.22836494e-05 3.65258248e-02 2.05219509e-02 ... 3.52274675e-01
 4.36321685e-01 5.70138177e-01]",[0.00753892 0.00801135 0.00319911 ... 0.22981227 0.27828658 0.36437911],[0.13600017 0.12015736 0.14121766 ... 0.10540543 0.01917056 0.04358111],[0.20984328 0.25613205 0.27584634 ... 1.67618696 1.31550617 2.44503493],0.15263572268857542
[0.07372271 0.2317998  0.19337965 ... 0.31443109 0.51942332 0.42547696],[0.0260342  0.20044746 0.21652728 ... 0.21332413 0.29400202 0.323757  ],[0.21632385 0.03215332 0.02038286 ... 0.09159716 0.0580798  0.03564208],[0.6687876  0.6955179  0.73505873 ... 1.93625686 1.71251176 1.84843034],0.15111004155875576
[0.12691112 0.11116921 0.08456168 ... 0.37046982 0.52657286 0.84558538],[0.15282322 0.11537025 0.12714693 ... 0.22950366 0.3266247  0.36437911],[0.27423114 0.29757551 0.3052141  ... 0.08738877 0.04294488 0.03024178],[0.0630582  0.06844431 0.32003918 ... 1.97094275 1.52442447 4.93484291],0.1505338231867814
[0.00425823 0.01612092 0.16811986 ... 0.28371414 0.44701657 0.41533087],[0.00198359 0.00660364 0.12729047 ... 0.16379848 0.27396913 0.36437911],[0.18465728 0.2420069  0.44876302 ... 0.07554461 0.06910508 0.02321337],[0.28037452 0.40000881 0.28029478 ... 1.64523853 1.14858605 1.4001881 ],0.14939694274786838
[0.00612483 0.03195322 0.00843723 ... 0.42903174 0.61821742 0.63501361],[0.00858405 0.03579564 0.00830875 ... 0.13594943 0.25725984 0.35418639],[0.07163285 0.08609287 0.09970362 ... 0.06138529 0.01770074 0.01436308],[0.10993795 0.17338288 0.16374057 ... 2.29066006 3.19378442 2.45048893],0.14906505560860403
[0.04536187 0.02435895 0.04298337 ... 0.39616328 0.48540436 0.49246536],[0.0497494  0.02978725 0.00371838 ... 0.1934134  0.29896584 0.33442969],[0.18279551 0.25480058 0.29321593 ... 0.064548   0.04905432 0.07103156],[0.22829015 0.42390081 0.42917835 ... 1.90331855 2.46848142 3.24124809],0.14849201120810246
[0.05665873 0.03724266 0.02257996 ... 0.42257874 0.53907598 0.50337665],[0.06606814 0.04329374 0.01198251 ... 0.21163706 0.29784334 0.32177041],[0.12311918 0.15557549 0.15678284 ... 0.25446214 0.06013193 0.02673315],[0.03752812 0.0834343  0.15177171 ... 3.08298811 2.46974952 4.02757903],0.1488999188260506
[0.08651331 0.01671372 0.06917346 ... 0.53855095 1.70147653 0.50287834],[0.09470977 0.01360711 0.03691784 ... 0.14406699 0.3266247  0.35920482],[0.11625542 0.20209358 0.3016618  ... 0.08651678 0.05312198 0.03241851],"[ 0.27461096  0.27283634  0.30002185 ...  5.57065395 10.52645575
  3.20724104]",0.14974894217401027
[0.04274086 0.05063273 0.08665765 ... 0.43645288 0.74394487 0.61137522],[0.05679202 0.04951396 0.0786875  ... 0.13632602 0.3266247  0.36520065],[0.32620712 0.34487825 0.39486565 ... 0.11540297 0.08015906 0.02955523],[0.27758229 0.60632236 0.82298295 ... 3.62808614 2.66200742 3.04105927],0.14496046598212503
[0.02075566 0.04718792 0.02493747 ... 0.51882884 0.92755874 0.53797812],[0.05921708 0.07891074 0.01399608 ... 0.21833739 0.3266247  0.35921954],[0.21839829 0.2409995  0.31813245 ... 0.12231519 0.00367942 0.06560144],[0.25147661 0.36563152 0.47997526 ... 4.07041328 5.36803298 2.16620682],0.14804350045329204
[0.35853975 0.44565477 0.4154586  ... 0.49766106 0.71862517 0.60115278],[0.24580421 0.35658827 0.32593853 ... 0.19403664 0.38644151 0.40203626],[0.04197846 0.04582586 0.24351334 ... 0.11137066 0.12573634 0.07723508],[1.27621088 1.39808    1.33156217 ... 2.64999353 3.45930468 2.7973773 ],0.14977321697929344
[0.02095142 0.06717681 0.1245664  ... 0.44094333 0.63172882 0.61079501],[0.02906972 0.05619636 0.06198259 ... 0.22856116 0.33718578 0.47727381],[0.27481008 0.27919857 0.46189734 ... 0.11506316 0.00576589 0.03873276],[0.30220874 0.32677137 0.28194138 ... 2.5218456  1.61330103 3.25007766],0.15026277062171547
[0.04724622 0.10307577 0.11187296 ... 0.45345568 0.67526088 0.45733413],[0.04890619 0.11123987 0.09207331 ... 0.32393816 0.40291962 0.36437911],[0.12510236 0.18369731 0.26362129 ... 0.12130993 0.10708324 0.03874085],[0.10894941 0.0346792  0.13524314 ... 2.42213034 2.53737597 1.49897065],0.15221026036005278
