mean,median,lower_0025,upper_0975,mean_wql
[0.11615455 0.10058483 0.10516053 ... 0.15743747 0.17760717 0.20503713],[0.13266649 0.10102719 0.15130799 ... 0.12582721 0.1310653  0.16015285],[0.27107415 0.33475169 0.34074612 ... 0.00113381 0.03214968 0.06862594],[0.16275327 0.21578871 0.36342563 ... 0.36716508 0.50651899 0.67956057],0.10398926725869453
[0.05672117 0.06512545 0.06567235 ... 0.27364712 0.18674709 0.25089089],[0.0885001  0.08420511 0.00233565 ... 0.20668573 0.18920568 0.21629893],[0.34793704 0.21823739 0.50728465 ... 0.1279858  0.10725876 0.16415787],[0.16232042 0.61422065 0.51430717 ... 0.87588189 0.73727352 0.94098427],0.10477095412747875
[0.01055259 0.13058638 0.25640936 ... 0.26433885 0.21644327 0.25505898],[0.04492095 0.12174659 0.20818061 ... 0.18368944 0.1708202  0.21720842],[0.27080254 0.33853904 0.59031338 ... 0.09654786 0.08833146 0.1213662 ],[0.35302706 0.36881209 0.24802812 ... 0.84260512 0.97066845 1.26371796],0.10423405493911968
[0.05918442 0.31645928 0.21369374 ... 0.26766379 0.20973885 0.23252912],[0.07512553 0.34615026 0.16144456 ... 0.2193079  0.19098148 0.21680686],[0.12281939 0.10917547 0.03705066 ... 0.06450636 0.10834686 0.0811525 ],[0.319457   0.63210819 0.57112241 ... 0.78341946 0.7571795  0.79453299],0.10375273888112455
[0.1637191  0.13421993 0.15573795 ... 0.24384352 0.23400353 0.20069311],[0.15966497 0.09402019 0.12120073 ... 0.20574539 0.18628968 0.21548142],[0.08995604 0.21700835 0.13497842 ... 0.12284811 0.06262259 0.09092155],[0.66815806 0.68491998 0.49534617 ... 0.64037365 1.18770282 0.79453299],0.10279408415513545
[0.26128207 0.37570432 0.4964628  ... 0.2422856  0.21540861 0.29913822],[0.17598003 0.42995787 0.56786637 ... 0.19684896 0.17440142 0.21629893],[0.05233908 0.08626403 0.02227904 ... 0.09535089 0.14584743 0.07664631],[0.8046754  0.83608193 0.99574394 ... 0.76927014 0.89949441 1.41086234],0.1021264744261619
[0.23943923 0.5062885  0.43555429 ... 0.25183557 0.16851364 0.19705277],[0.024304   0.52143153 0.44085337 ... 0.18306736 0.15104768 0.12516331],[0.32116671 0.19959968 0.21974404 ... 0.10776581 0.24897729 0.16351866],[1.31067211 1.53307574 1.43427431 ... 0.82439802 0.89872906 0.79814695],0.09991864367178485
[0.17622059 0.12820079 0.247105   ... 0.28873261 0.26047016 0.39453084],[0.16087237 0.13967375 0.21847009 ... 0.20668573 0.19098148 0.21629893],[0.3906744  0.48731809 0.4950624  ... 0.10005099 0.16149847 0.09635479],[0.16155854 0.21191621 0.12739038 ... 0.88831045 1.03285237 0.94138343],0.09957347087867478
[0.03072605 0.03305759 0.02646349 ... 0.26487269 0.20907241 0.20204913],[0.0170159  0.02638498 0.00108062 ... 0.19363205 0.19098148 0.19108616],[0.04021631 0.10137472 0.13870212 ... 0.12263963 0.16489067 0.13437795],[0.16642363 0.23499578 0.34845665 ... 0.99442298 0.76071824 0.64997453],0.09863719420480474
[0.04536234 0.10553231 0.11221612 ... 0.22147578 0.19803348 0.22455436],[0.06523106 0.08025054 0.07961835 ... 0.19308041 0.14454372 0.21389878],[0.10375415 0.03498733 0.02748219 ... 0.09535648 0.13475904 0.22528964],[0.29166616 0.30204409 0.31100468 ... 0.61031947 0.7571795  0.83769964],0.09848917775690211
[0.15563362 0.24287438 0.15866687 ... 0.20418033 0.14922877 0.183258  ],[0.05789539 0.25026683 0.19548414 ... 0.19253436 0.11404015 0.17211238],[0.00795764 0.04437115 0.11120134 ... 0.15071667 0.27482347 0.11706616],[0.52922286 0.6294907  0.42094148 ... 0.87312841 0.61563005 0.70254884],0.09819398659872149
[0.00124086 0.08364291 0.04991644 ... 0.19145573 0.21954103 0.18344832],[0.01125927 0.07970642 0.03630936 ... 0.19996231 0.19098148 0.16076241],[0.08698591 0.01419834 0.07223711 ... 0.26135472 0.10337562 0.10688304],[0.12374735 0.21102165 0.21543013 ... 0.49399007 0.78585426 0.64997453],0.09785798150035835
[0.17908646 0.32551107 0.38974289 ... 0.22615367 0.18493707 0.62362026],[0.08526303 0.33933108 0.41754507 ... 0.20807579 0.19098148 0.16774129],[0.05927064 0.02929214 0.01886099 ... 0.1246774  0.09354094 0.1435753 ],[0.53935145 0.71217044 0.77629601 ... 0.78164239 0.61563005 0.88590826],0.09694587725721762
[0.20824931 0.22324425 0.13658859 ... 0.25399305 0.18910791 0.20791756],[0.11505214 0.19999957 0.04227715 ... 0.21014559 0.19085474 0.17669622],[0.0144336  0.00250236 0.05200138 ... 0.09051891 0.09087715 0.09774048],[0.75128476 0.75556218 0.68698272 ... 0.63777489 0.65741967 0.87583119],0.0963141229052246
[0.08461174 0.06448309 0.0775836  ... 0.22424049 0.18500798 0.2091349 ],[0.02936283 0.00048425 0.01540628 ... 0.21078781 0.14178833 0.21629893],[0.30365497 0.18124312 0.1782228  ... 0.18328121 0.127197   0.13081465],[0.64165912 0.66089929 0.53142814 ... 0.95456379 0.66192765 0.79814695],0.09625937784767907
[0.17742249 0.20902354 0.14322582 ... 0.24383886 0.19259452 0.41849132],[0.18299077 0.19280588 0.1185817  ... 0.20873762 0.16142808 0.20493357],[0.07841893 0.08751821 0.00162462 ... 0.12351849 0.08579546 0.08399713],[0.36760418 0.51327956 0.37855601 ... 0.92283657 0.6498512  0.79601662],0.09616447278668147
[0.09112752 0.06247354 0.03714921 ... 0.21263438 0.48931171 0.16386618],[0.00144956 0.04304068 0.03453175 ... 0.206055   0.15630401 0.15473799],[0.05470128 0.04772965 0.06154996 ... 0.12515942 0.20254723 0.10083523],[0.65806206 0.22278793 0.20986838 ... 0.64478763 0.90013912 0.65358849],0.09610371311032732
[0.41899005 0.51240658 0.6980762  ... 0.22442112 0.15353324 0.18985045],[0.3020427  0.57777115 0.75010241 ... 0.1984503  0.10281829 0.18253972],[0.07155591 0.03520667 0.08589909 ... 0.18061549 0.17124216 0.19770329],[1.07187593 0.94358463 1.30846243 ... 0.85492017 0.75960638 0.65228588],0.09579971475787666
[0.22826855 0.43982127 0.38405076 ... 0.21292205 0.26938684 0.44693542],[0.11925352 0.48785394 0.38990381 ... 0.20228112 0.12335125 0.17789108],[0.21793512 0.06711172 0.15593563 ... 0.15923507 0.10543562 0.15242922],[1.20575108 1.26412102 1.26056788 ... 0.63970265 0.86403641 1.08869031],0.09633052083374487
[0.03189208 0.01080865 0.09550476 ... 0.23490356 0.30461484 0.21949791],[0.03377049 0.00265599 0.03942894 ... 0.20723301 0.12397075 0.18175852],[0.25551607 0.2817491  0.51641517 ... 0.13478185 0.17435796 0.11028245],[0.4677004  0.55553022 0.41400668 ... 0.63872254 2.14660488 0.94631948],0.09629115470715484
[0.07557036 0.30217776 0.14383945 ... 0.23750513 0.2489919  0.24690351],[0.03229919 0.15357729 0.147121   ... 0.20485846 0.12611063 0.15668681],[0.18913836 0.03044376 0.07742474 ... 0.11357372 0.12845118 0.14308488],[0.43638004 0.62625961 0.63827104 ... 0.9244085  1.39639426 0.94522115],0.09728027742043424
[0.00174057 0.01349261 0.02042633 ... 0.25215927 0.21969367 0.35550179],[0.01118013 0.00479091 0.01329571 ... 0.20524344 0.13213404 0.14568941],[0.05877783 0.11131381 0.15345048 ... 0.1363246  0.12932686 0.18134231],[0.1228675  0.20650394 0.21543791 ... 0.78142293 1.05292414 2.53779486],0.09775014467005745
[0.00999179 0.10712403 0.01241249 ... 0.37768348 0.96975681 0.42995136],[0.03861178 0.07002347 0.04801068 ... 0.20655157 0.18875062 0.20831416],[0.17148067 0.12419199 0.21167932 ... 0.16207817 0.17487409 0.12466545],[0.24155796 0.46872567 0.33926826 ... 1.41804681 2.05512658 3.04119405],0.09747907346736792
[0.01439662 0.00844206 0.02932265 ... 0.29716274 0.29852272 0.27478344],[0.03033765 0.04028725 0.0394271  ... 0.21528283 0.14508976 0.15437081],[0.05002365 0.07718033 0.08552673 ... 0.1627544  0.17502195 0.13796548],[0.08875345 0.2407117  0.04903897 ... 1.40091219 1.47196569 1.37369798],0.09761907783248559
[0.03637716 0.04760573 0.05558638 ... 1.28926965 0.31937558 0.45873196],[0.02517954 0.05805283 0.06436839 ... 0.21920981 0.14831655 0.20977487],[0.11188759 0.1199229  0.15578688 ... 0.15147316 0.18433166 0.17763415],[0.06290986 0.08767362 0.16238314 ... 1.68355637 1.77631365 1.70629296],0.09792757482873946
