mean,median,lower_0025,upper_0975,mean_wql
[0.01378273 0.00992528 0.05446901 ... 0.04827005 0.07688141 0.04272783],[0.01978459 0.01734901 0.07247745 ... 0.10711327 0.10837217 0.0792798 ],[0.07567789 0.06516615 0.13035395 ... 0.12807862 0.13266902 0.10475879],[0.15117387 0.18390269 0.111149   ... 0.22019687 0.12060986 0.18076122],0.06117664897115476
[0.08411117 0.20000098 0.21658719 ... 0.00717992 0.08741834 0.07680525],[0.07337389 0.19468134 0.1783232  ... 0.1105845  0.11735988 0.09451504],[0.15261715 0.26280363 0.37230255 ... 0.14140108 0.14569054 0.12538211],[0.05082705 0.09367619 0.02624765 ... 0.25602193 0.12803542 0.02762469],0.06429063289543979
[0.12013543 0.10827624 0.11614365 ... 0.07192339 0.05973729 0.04191288],[0.13941182 0.12793026 0.14612282 ... 0.09736288 0.09742994 0.06576705],[0.21909731 0.26309718 0.24099561 ... 0.12454375 0.12736888 0.09999769],[0.12644324 0.07953991 0.13493221 ... 0.03566229 0.07708273 0.26226314],0.06608943353608947
[0.07779163 0.07793318 0.09385756 ... 0.04772066 0.01039896 0.01332765],[0.08643966 0.07949489 0.10509326 ... 0.07936044 0.08099905 0.04768922],[0.14000007 0.17235835 0.19802074 ... 0.15235098 0.12773675 0.09916625],[0.06500588 0.15877256 0.11601683 ... 0.10944061 0.73730666 0.24969029],0.07111274511360037
[0.13140371 0.0790579  0.14396028 ... 0.06043336 0.06208933 0.00681465],[0.0898944  0.06465412 0.11343424 ... 0.06888378 0.07092137 0.043919  ],[0.34492054 0.35395597 0.57277937 ... 0.15577102 0.12556399 0.09755458],[0.2413742  0.38864021 0.48665395 ... 0.20221324 0.15564492 0.3071714 ],0.07165071045754788
[0.05798728 0.0970171  0.0034208  ... 0.05731632 0.0331183  0.00124437],[0.0362547  0.17196212 0.09248092 ... 0.06888378 0.07092137 0.0513513 ],[0.34793704 0.29718791 0.44804263 ... 0.15592998 0.12539587 0.10158619],[0.32678362 0.61422065 0.70682811 ... 0.12813446 0.26277476 0.19544359],0.07173600512742913
[0.03130633 0.06795158 0.03793444 ... 0.05505978 0.06056361 0.0220958 ],[0.0219229  0.03093185 0.00666249 ... 0.06888378 0.08415742 0.043919  ],[0.17553809 0.24530538 0.22286551 ... 0.15513966 0.12476268 0.10054471],[0.22620836 0.19924813 0.26516012 ... 0.18307176 0.12486553 0.18837149],0.07167313418100524
[0.02925465 0.03928042 0.11667588 ... 0.0598141  0.05428551 0.03322481],[0.00075762 0.01192459 0.05379511 ... 0.06888378 0.07092137 0.06326544],[0.21924943 0.30962498 0.5599398  ... 0.15595474 0.12405702 0.10590475],[0.42977754 0.5491975  0.48725552 ... 0.23140056 0.0992204  0.13012003],0.07166935802115736
[0.01932453 0.11317218 0.16956358 ... 0.06888507 0.0600822  0.00929043],[0.03313073 0.05559856 0.12885952 ... 0.06888378 0.07092137 0.04742983],[0.27080254 0.38524545 0.53774621 ... 0.15574469 0.12590315 0.10348398],[0.50898444 0.22734187 0.25125279 ... 0.1585215  0.1272542  0.2674648 ],0.07183585950292813
[0.05463149 0.01291577 0.13262321 ... 0.06507734 0.05373788 0.01776345],[0.07132404 0.03224998 0.16688887 ... 0.0726239  0.07092137 0.06715667],[0.17172241 0.2299886  0.27667484 ... 0.15637557 0.12607777 0.09927808],[0.14883324 0.36527536 0.22811545 ... 0.12592372 0.09820232 0.24754213],0.07129297627970402
[0.07149672 0.13560555 0.13104264 ... 0.06898168 0.02642345 0.03010598],[0.02533615 0.01765205 0.07027167 ... 0.08387722 0.07092137 0.0572768 ],[0.25766837 0.21993288 0.24134648 ... 0.15594309 0.12594977 0.11406926],[0.91607979 1.4874074  1.23712332 ... 0.15776959 0.41288193 0.13157035],0.07087281319100247
[0.06170591 0.31644555 0.18808835 ... 0.06592917 0.06718635 0.01502597],[0.07512553 0.25413049 0.15628371 ... 0.09160556 0.08859101 0.05854384],[0.10511234 0.14172912 0.01106969 ... 0.15587183 0.12439652 0.09505314],[0.319457   0.63210819 0.55044681 ... 0.15710905 0.09820232 0.2184412 ],0.07125086273822046
[0.3559761  0.28102061 0.29333657 ... 0.05388025 0.04131762 0.02167574],[0.31533143 0.28153659 0.32140984 ... 0.06888378 0.08000087 0.043919  ],[0.10936343 0.26549105 0.25361496 ... 0.15437245 0.12388434 0.09289575],[1.45488476 1.04719787 1.04875492 ... 0.22535341 0.18958868 0.18854997],0.07074073913705037
[0.0221005  0.10249861 0.05220459 ... 0.07247268 0.04754118 0.01619443],[0.04044246 0.08633985 0.00333608 ... 0.09476311 0.07092137 0.05238252],[0.18065308 0.04861171 0.07366066 ... 0.15402428 0.12366753 0.10163956],[0.32772595 0.32111718 0.4152704  ... 0.15710905 0.27918752 0.24759644],0.0709072179191733
[0.17944214 0.14415801 0.20219696 ... 0.06526105 0.05197541 0.01935027],[0.10992749 0.09402019 0.12483445 ... 0.06888378 0.07092137 0.05210817],[0.03613899 0.09011801 0.10334091 ... 0.15665482 0.12708177 0.09905242],[0.63637445 0.67938366 0.73617471 ... 0.12554676 0.15457691 0.21270114],0.07067237999331984
[0.03586778 0.08886783 0.0816916  ... 0.06488782 0.05257124 0.01801229],[0.01798886 0.03622192 0.03577231 ... 0.08947779 0.07320204 0.06418151],[0.03909423 0.04662664 0.03207374 ... 0.15471354 0.12400381 0.11033429],[0.22026532 0.4661648  0.34811863 ... 0.15710905 0.15487367 0.1857437 ],0.07061728247832005
[0.2197641  0.21095678 0.31741364 ... 0.07457105 0.0526278  0.02298996],[0.22407981 0.25484997 0.31846304 ... 0.09265871 0.07092137 0.06222395],[0.00853213 0.13137588 0.10252668 ... 0.1529472  0.12664378 0.10906418],[0.52596755 0.5412945  0.78768726 ... 0.10061082 0.1264583  0.24614611],0.07089277738501512
[0.36730991 0.61407767 0.59956843 ... 0.01454319 0.05184535 0.01493785],[0.35925269 0.51033903 0.66735636 ... 0.06888378 0.07092137 0.043919  ],[0.095536   0.07460697 0.03530363 ... 0.15488434 0.12339747 0.09203861],[1.10162402 1.22774774 1.326054   ... 0.18606195 0.09961169 0.18926697],0.0710033046446582
[0.27633272 0.59001735 0.51111797 ... 0.06373752 0.04266693 0.00896152],[0.07249919 0.61290687 0.58703537 ... 0.08417436 0.07092137 0.043919  ],[0.17277357 0.01287847 0.03342067 ... 0.15518485 0.12523803 0.0926127 ],[0.98142023 1.52903058 1.35540681 ... 0.21360728 0.17968285 0.24654989],0.07086505834266837
"[6.07028449e-01 9.43363945e-01 7.45577723e-01 ... 6.82048839e-02
 4.35353788e-02 4.06997479e-04]",[0.44978213 0.8856435  0.89304288 ... 0.08578118 0.07684637 0.04359842],[0.0332939  0.0388502  0.15671822 ... 0.1539961  0.13231665 0.10988744],[2.04945018 2.50280852 1.75155943 ... 0.15106282 0.16889787 0.18822403],0.07039162722061386
[0.30177438 0.66451178 0.58853138 ... 0.06268197 0.05274636 0.01310182],[0.07865516 0.55157132 0.61139743 ... 0.06888378 0.08181227 0.04881627],[0.29844735 0.09327083 0.16090761 ... 0.15324641 0.12722615 0.0900985 ],[1.78168199 2.22223688 1.76552353 ... 0.16516569 0.17071265 0.24759644],0.07040628081031146
[0.08258779 0.04330129 0.00520027 ... 0.05325251 0.04145687 0.00579905],[0.03562137 0.01549417 0.00249303 ... 0.08706703 0.07092137 0.043919  ],[0.30292563 0.12892238 0.20416254 ... 0.15408262 0.12500465 0.10532265],[0.31111786 0.33898429 0.31563979 ... 0.21420412 0.25050286 0.18813307],0.07010075839736679
[0.03178726 0.11973048 0.15238166 ... 0.0604717  0.05653169 0.00406685],[0.03113649 0.10119813 0.09715125 ... 0.06888378 0.09379476 0.043919  ],[0.19490293 0.25744296 0.37622623 ... 0.15388802 0.12586222 0.09973922],[0.03472795 0.06038167 0.1860279  ... 0.13666005 0.15457691 0.34553572],0.07017356766277545
[0.15421076 0.13759946 0.25701936 ... 0.0456222  0.05591066 0.01320451],[0.14859082 0.14169668 0.23783695 ... 0.08348412 0.08851945 0.043919  ],[0.37290275 0.40561981 0.47225011 ... 0.1540075  0.11986509 0.0989171 ],[0.16155854 0.18988164 0.12792894 ... 0.22887242 0.15457691 0.42919273],0.07186358242508241
[0.10953511 0.19467724 0.21519515 ... 0.04100643 0.09832769 0.03536392],[0.10555121 0.14698601 0.17879624 ... 0.06888378 0.0878138  0.043919  ],[0.30609606 0.38086242 0.40602533 ... 0.15437351 0.12486281 0.09860365],[0.13884866 0.12638482 0.08429518 ... 0.15718285 0.22463744 0.57074641],0.07018734702958002
