mean,median,lower_0025,upper_0975,mean_wql
"[1.72451921e-02 3.38784271e-05 5.62635694e-02 ... 8.46735099e-02
 9.38523421e-02 5.12888758e-02]",[0.01822516 0.02266687 0.07267397 ... 0.10397945 0.10604592 0.07914516],[0.08043187 0.06801282 0.11641292 ... 0.13024036 0.13341895 0.11707433],[0.10825237 0.16362695 0.09424066 ... 0.07718224 0.00210727 0.12117349],0.060361171612590234
[0.08361461 0.20490764 0.21859676 ... 0.07491598 0.100648   0.04849157],[0.08336644 0.20745444 0.19470965 ... 0.11286474 0.11657798 0.08740266],[0.18090144 0.25795551 0.37431578 ... 0.14295503 0.17152104 0.13299388],[0.04938774 0.0433824  0.07234311 ... 0.12910246 0.01321637 0.25143605],0.0630732083694688
[0.13179304 0.09519432 0.10425274 ... 0.0890228  0.08722767 0.04954854],[0.14494699 0.09960015 0.15807346 ... 0.09802141 0.09933815 0.07316168],[0.24024462 0.30032158 0.27763508 ... 0.12580168 0.12519106 0.09293928],[0.12644324 0.35202484 0.24403254 ... 0.00239573 0.04225302 0.06422815],0.06353326570581726
[0.08391779 0.07210867 0.10670215 ... 0.05691672 0.0473873  0.02880823],[0.08643966 0.09311622 0.11074998 ... 0.08280693 0.08119662 0.05675343],[0.17662413 0.20550916 0.29561327 ... 0.14884569 0.13670512 0.10880785],[0.21645143 0.15877256 0.11601683 ... 0.2109445  0.18854009 0.18659997],0.06773530242462662
[0.10887131 0.07628984 0.14689102 ... 0.06324675 0.05132108 0.03424609],[0.1041136  0.08364966 0.0970414  ... 0.08539154 0.08372264 0.05730009],[0.29939665 0.33625937 0.58903236 ... 0.15306369 0.13739456 0.12072818],[0.46971122 0.38864021 0.36518206 ... 0.1585215  0.09837756 0.18813307],0.06803038449597382
[0.05872314 0.09070973 0.03098977 ... 0.07029099 0.07882112 0.02496144],[0.09753075 0.11906807 0.03497007 ... 0.08271208 0.09580235 0.06027921],[0.34793704 0.24073629 0.48330316 ... 0.15354012 0.1417524  0.11620989],[0.32678362 0.81944407 0.60859649 ... 0.10202327 0.08089955 0.13135844],0.06780221470691646
[0.009577   0.07439881 0.0517482  ... 0.07329833 0.0598014  0.03240769],[0.00288156 0.07095465 0.02781278 ... 0.08512975 0.09842031 0.06287865],[0.17553809 0.19366525 0.2386405  ... 0.15397001 0.1345191  0.11554024],[0.22620836 0.19924813 0.2599999  ... 0.10061082 0.15457691 0.18735521],0.06756578190462922
[0.02173348 0.04524678 0.15610276 ... 0.07972487 0.07321538 0.04187644],[0.0111193  0.04235915 0.06645457 ... 0.09699721 0.09694407 0.06028172],[0.18864189 0.30637657 0.58321633 ... 0.1540281  0.14052849 0.12468296],[0.43342628 0.40570529 0.34638293 ... 0.10061082 0.15457691 0.12444639],0.06740125315610895
[0.00897763 0.15638347 0.2708498  ... 0.07888199 0.07135035 0.03634611],[0.0521535  0.16239465 0.24236143 ... 0.08731555 0.08880582 0.05486354],[0.27080254 0.33911655 0.56873043 ... 0.15427218 0.13827488 0.10760186],[0.35404248 0.23087863 0.12226591 ... 0.10158614 0.09820232 0.13012003],0.06682000037709596
[0.09721115 0.00587032 0.14737801 ... 0.07969658 0.07489783 0.03588847],[0.07132404 0.04094257 0.17782207 ... 0.08940267 0.0934172  0.07056006],[0.27629334 0.22427788 0.3470676  ... 0.15444332 0.14336392 0.13977416],[0.14883324 0.36527536 0.22811545 ... 0.1170917  0.04323718 0.22925098],0.06655070440302463
[0.00882904 0.16188103 0.09582929 ... 0.07807533 0.0661265  0.0314716 ],[0.01909548 0.01898668 0.07027167 ... 0.08449427 0.08975309 0.06395151],[0.31502513 0.25547954 0.35792703 ... 0.15515126 0.15226871 0.11218311],[0.54928537 1.28524595 0.95248496 ... 0.10101896 0.21127455 0.18828166],0.06638329466490037
[0.06704159 0.30115386 0.19057998 ... 0.06751363 0.0684893  0.03446701],[0.07613314 0.27897943 0.15628371 ... 0.06888378 0.09698767 0.0564788 ],[0.13489045 0.11306797 0.0002559  ... 0.15543527 0.14660289 0.13699103],[0.32241251 0.49538542 0.49480917 ... 0.10143642 0.09820232 0.13198928],0.0661825485838999
[0.16735155 0.20448078 0.19482056 ... 0.06512168 0.06822864 0.0161471 ],[0.01140306 0.25178396 0.25019587 ... 0.08313546 0.08048467 0.043919  ],[0.16302447 0.23110088 0.29953032 ... 0.1565259  0.13678774 0.11658758],[0.7354136  0.61057145 0.71676129 ... 0.19484323 0.09820232 0.30498862],0.06556551758580667
