mean,median,lower_0025,upper_0975,mean_wql
[0.07469161 0.19638869 0.21265498 ... 0.17212754 0.14303661 0.16061263],[0.06575685 0.19312302 0.17818039 ... 0.12518457 0.09230428 0.0985182 ],[0.18090144 0.26616059 0.37248726 ... 0.0526761  0.01134068 0.01120149],[0.10696004 0.00577064 0.02624765 ... 0.43355219 0.56878629 0.64670312],0.08672749623270933
[0.0667871  0.08092384 0.10820327 ... 0.16564335 0.1384424  0.1156885 ],[0.08643966 0.08596405 0.12652238 ... 0.17474575 0.15145656 0.09639331],[0.12663192 0.16828319 0.21375425 ... 0.03009499 0.00099798 0.0274469 ],[0.06500588 0.15877256 0.11601683 ... 0.26238565 0.2363923  0.26322005],0.09463510963371224
[0.05223777 0.07701856 0.02017828 ... 0.18288691 0.15771743 0.12749049],[0.03693611 0.17196452 0.09537993 ... 0.18029019 0.15024519 0.09075271],[0.34793704 0.2945502  0.44454937 ... 0.01092388 0.00618326 0.02736035],[0.32678362 0.61422065 0.51430717 ... 0.48332633 0.39159095 0.3257618 ],0.09481986589454286
[0.0276976  0.06140318 0.17737196 ... 0.16573281 0.15079358 0.11536923],[0.00743288 0.02477138 0.06592714 ... 0.17350988 0.15167247 0.09789799],[0.21558178 0.30914143 0.55917364 ... 0.02252742 0.02035013 0.01824181],[0.43342628 0.40570529 0.34638293 ... 0.31805281 0.38360832 0.33614783],0.09469409251149838
[0.04675702 0.00653571 0.11430923 ... 0.18463312 0.1458719  0.1225383 ],[0.07132404 0.01738709 0.16688887 ... 0.17350988 0.15024519 0.09426291],[0.15846379 0.19262064 0.29425536 ... 0.02609269 0.0058387  0.02063819],[0.14922697 0.36527536 0.22811545 ... 0.36899826 0.31907543 0.36610034],0.09421554801476
[0.06238597 0.28644533 0.18394488 ... 0.16227133 0.14593508 0.13173058],[0.07512553 0.27568062 0.15628371 ... 0.17350988 0.15024519 0.09075271],[0.10925881 0.11869039 0.0389943  ... 0.00626432 0.00216035 0.02372981],[0.319457   0.49380031 0.41905907 ... 0.36302872 0.35143682 0.64512565],0.09414716813136097
[0.00784781 0.12248731 0.05709259 ... 0.17484839 0.14650339 0.11954492],[0.04044246 0.12885263 0.00101517 ... 0.17350988 0.15024519 0.08299279],[0.18542425 0.02672161 0.10152555 ... 0.00105461 0.01488272 0.0086494 ],[0.32772595 0.31755365 0.4152704  ... 0.41141498 0.33797425 0.41300371],0.09380089659862227
[0.05778886 0.11504572 0.08182673 ... 0.16153762 0.14323533 0.09847802],[0.01798886 0.03622192 0.03577231 ... 0.18058344 0.15024519 0.0579261 ],[0.06477746 0.0344579  0.03699559 ... 0.00432997 0.01178099 0.03358029],[0.40511803 0.35091082 0.3447686  ... 0.36302872 0.29072749 0.30021704],0.09349666714808029
[0.33246519 0.41022365 0.62809937 ... 0.16357091 0.14658523 0.1139958 ],[0.19671273 0.52448808 0.66735636 ... 0.17350988 0.15024519 0.09075271],[0.03327359 0.08464826 0.02304527 ... 0.00144584 0.00314144 0.04996384],[0.90729565 0.83358424 1.32413174 ... 0.3878346  0.29302121 0.36610034],0.09355024784043654
[0.70986683 0.77524611 0.78604988 ... 0.1656759  0.15297006 0.12122381],[0.72337221 0.77755871 0.86552635 ... 0.18119478 0.15722575 0.09075271],[0.05561645 0.03149967 0.1359489  ... 0.00860672 0.00037449 0.02127758],[2.56164426 1.76419321 2.08480816 ... 0.36302872 0.29515178 0.36724762],0.09215265444648779
[0.08734538 0.03915709 0.00637648 ... 0.1527339  0.13856199 0.09539016],[0.03134295 0.00145331 0.02307349 ... 0.16671536 0.15024519 0.05601829],[0.30836059 0.15840441 0.18972643 ... 0.00953303 0.00369012 0.02253052],[0.1807454  0.33898429 0.31762701 ... 0.31683356 0.38244731 0.29902139],0.09086985071567209
[0.14766955 0.11721604 0.21495378 ... 0.18180995 0.14136505 0.11427088],[0.16427659 0.14676343 0.18525338 ... 0.18022148 0.15024519 0.09075271],[0.37451414 0.33508653 0.46522953 ... 0.03788653 0.00187941 0.02368071],[0.16155854 0.18988164 0.26818517 ... 0.4132652  0.28956648 0.33755924],0.09092514126993537
[0.0402953  0.0660236  0.03406253 ... 0.17014456 0.15031567 0.12690737],[0.03416852 0.09169149 0.0748833  ... 0.17768055 0.15024519 0.08214577],[0.13260952 0.07173907 0.17114672 ... 0.02008579 0.00210142 0.03325666],[0.17804702 0.26487398 0.41350633 ... 0.36449812 0.33683884 0.39893176],0.0907664173141344
[0.15829573 0.24810107 0.28746821 ... 0.16832825 0.16183393 0.1089003 ],[0.17165418 0.26709364 0.26516432 ... 0.17350988 0.17600571 0.08643103],[0.17228884 0.22787454 0.23319867 ... 0.02854903 0.01590678 0.03441918],[0.53862957 0.55520402 1.09568793 ... 0.41066633 0.36961457 0.3213563 ],0.09133680186894937
[0.04351672 0.12914095 0.11287615 ... 0.18988591 0.13680003 0.12929023],[0.0254561  0.11266976 0.06885348 ... 0.17567486 0.1375021  0.09075271],[0.08353901 0.0070586  0.0147177  ... 0.0485882  0.00980271 0.01214012],[0.29320719 0.41409494 0.4407235  ... 0.42797598 0.32972826 0.41369251],0.0905382055114334
[0.05469284 0.25740023 0.21480274 ... 0.15542475 0.15845182 0.10127503],[0.06342492 0.25085412 0.18294218 ... 0.17262587 0.17518781 0.08498466],[0.06832508 0.12323041 0.10148604 ... 0.03190056 0.00417172 0.01291508],[0.27971501 0.49428834 0.46824404 ... 0.36325983 0.34349771 0.32020902],0.09042875021634254
[0.03813964 0.09498227 0.05220569 ... 0.15061391 0.16054166 0.12082397],[0.05023665 0.09076805 0.00552325 ... 0.17350988 0.15948584 0.09075271],[0.08745146 0.03285141 0.08289656 ... 0.00035733 0.01942994 0.03354936],[0.27078818 0.41559222 0.4220819  ... 0.36302872 0.38361965 0.33413965],0.09058825745536465
[0.00535375 0.08136962 0.048405   ... 0.16745349 0.15750766 0.14518766],[0.00491784 0.0564078  0.02667322 ... 0.18063429 0.17273233 0.09075271],[0.06937784 0.00171318 0.08602092 ... 0.02863397 0.01202343 0.01753918],[0.15866414 0.24076802 0.27271621 ... 0.38281909 0.38244731 0.46792675],0.09087195139052297
[0.13706118 0.13960927 0.15954533 ... 0.16109162 0.16913404 0.1176606 ],[0.09238923 0.10833382 0.11773148 ... 0.17350988 0.17035959 0.09347874],[0.03303924 0.00503312 0.05144061 ... 0.02460429 0.00587886 0.00958306],[0.3278433  0.29354944 0.37686074 ... 0.33767971 0.42509131 0.35206218],0.09106145880001133
[0.45307999 0.38460167 0.48369986 ... 0.16469425 0.14792066 0.10035059],[0.11958597 0.40242352 0.61848799 ... 0.17350988 0.15024519 0.09075271],[0.07119429 0.2412684  0.21489536 ... 0.01448716 0.00031569 0.02171589],[1.76481774 0.9384208  1.34749105 ... 0.38085447 0.33343253 0.32020902],0.09087232222158027
[0.30185757 0.25383785 0.21665041 ... 0.17073    0.16072442 0.11547441],[0.16300713 0.23262968 0.04072462 ... 0.1784207  0.16579014 0.09075271],[0.01375157 0.01154822 0.02479368 ... 0.01588926 0.00154636 0.00894702],[1.1837709  0.95401228 1.26239195 ... 0.41080243 0.39745894 0.36742641],0.09118874515361086
[0.28706483 0.29930154 0.21887292 ... 0.18252782 0.14595864 0.12263504],[0.2534339  0.29938708 0.28685119 ... 0.17595556 0.15024519 0.09075271],[0.15735698 0.1859846  0.28412154 ... 0.03408779 0.01097455 0.0095666 ],[1.59233425 0.80231116 0.53640107 ... 0.59526948 0.33600684 0.36142238],0.09091754285830322
[0.04138245 0.14665308 0.11979469 ... 0.16442865 0.14524458 0.1357538 ],[0.03013146 0.0583487  0.01616278 ... 0.17350988 0.15024519 0.09293503],[0.13329509 0.11038419 0.1463048  ... 0.02602097 0.00631369 0.02390386],[0.59863063 1.09014423 0.72076071 ... 0.31672536 0.33600684 0.44830817],0.09039619585185418
[0.19596158 0.17136145 0.13553301 ... 0.17293103 0.15607339 0.09833667],[0.19194435 0.16972471 0.11917429 ... 0.18246097 0.17583618 0.05656731],[0.13333124 0.08796246 0.05670718 ... 0.02631212 0.00525411 0.02905618],[0.32174008 0.31145289 0.32585445 ... 0.45317712 0.40586055 0.36610034],0.09170234276399226
[0.04457339 0.07343812 0.07870019 ... 0.16644961 0.17025366 0.13287735],[0.01287948 0.05907307 0.05296916 ... 0.17350988 0.17360116 0.09604277],[0.05807792 0.00057228 0.00346324 ... 0.0221191  0.01991953 0.03203016],[0.25082174 0.28809577 0.341123   ... 0.36521249 0.38269429 0.43603249],0.09034925340543534
