mean,median,lower_0025,upper_0975,mean_wql
[0.00524101 0.04287236 0.12308169 ... 0.31496472 0.37664289 0.33800613],"[3.76392604e-04 4.65450729e-02 1.11015116e-01 ... 3.64955583e-01
 3.81259422e-01 2.93796371e-01]",[0.15505745 0.0942654  0.32715889 ... 0.54442306 0.18490576 0.39854894],[0.11829826 0.34526942 0.1539704  ... 0.76842828 0.82400736 0.87187605],0.1303326216941984
[0.04180297 0.17333611 0.21772656 ... 0.45061638 0.44232046 0.33165365],[0.04269086 0.13044395 0.14182716 ... 0.42781724 0.43910271 0.33319034],[0.49219307 0.60037245 0.78988    ... 0.11457747 0.35730716 0.43109102],[0.46341746 0.46002478 0.44649529 ... 1.29394332 0.87688313 0.88417383],0.13156245341365633
[0.08344804 0.18935864 0.06089394 ... 0.35902709 0.428027   0.34892845],[0.20426797 0.15519149 0.04943457 ... 0.42781724 0.43904902 0.34491635],[0.40066345 0.30420605 0.38353465 ... 0.42935816 0.40439979 0.31589803],[0.82193992 0.63624817 0.66972574 ... 0.77693745 1.01598292 0.77453559],0.1312141527166269
[0.28110815 0.48775147 0.42562339 ... 0.39062839 0.42788321 0.33345187],[0.06609383 0.66099378 0.54025673 ... 0.42781724 0.43743238 0.33420304],[0.2454062  0.2123392  0.21513481 ... 0.61054903 0.33041314 0.51133713],[1.48048693 1.6322506  1.32736689 ... 0.97110638 1.08057514 1.01139335],0.1302684847476555
[0.29339433 0.7648753  0.65659988 ... 0.39676339 0.34141705 0.33527625],[0.04683486 0.75003714 0.70558266 ... 0.42781724 0.43566324 0.3430546 ],[0.51935315 0.22081425 0.17186088 ... 0.34574809 0.51147863 0.54404003],[1.69347019 2.19657797 1.60416306 ... 0.85515534 0.8350452  0.84067239],0.12738059314419184
[0.04025486 0.06837738 0.11269261 ... 0.36910435 0.37866336 0.3430395 ],[0.03634499 0.08268924 0.06437126 ... 0.42781724 0.43535076 0.33573977],[0.25309456 0.25251674 0.41431101 ... 0.44100573 0.29791919 0.34684467],[0.16516019 0.25193996 0.29497178 ... 0.89011485 0.92651394 0.83902967],0.12583511581295953
[0.00643858 0.10069987 0.07814018 ... 0.36806179 0.4327992  0.31839658],[0.03475075 0.07334374 0.06315707 ... 0.42781724 0.43506166 0.3350692 ],[0.19585433 0.0371521  0.06025401 ... 0.40687296 0.44831646 0.43738339],[0.19964219 0.27919386 0.38194534 ... 0.76286451 1.03123071 0.7594349 ],0.12567837354315284
[0.06290342 0.19525868 0.19769914 ... 0.35800309 0.39778453 0.31638291],[0.01249569 0.16967926 0.16215151 ... 0.42781724 0.43580357 0.33590627],[0.30321977 0.0721823  0.07220592 ... 0.30746725 0.45855308 0.37100364],[0.55101365 0.60009902 0.79994643 ... 0.77262733 0.8505974  0.75574453],0.12460394724465591
[0.09117068 0.23182123 0.29438916 ... 0.39762072 0.42360947 0.33805788],[0.0461902  0.24704931 0.32958373 ... 0.45843227 0.43667519 0.33457596],[0.10033922 0.03683771 0.0841035  ... 0.30706457 0.25681906 0.222305  ],[0.37951722 0.57237896 0.6874313  ... 0.9895283  1.05175615 0.83349898],0.12361359933892141
[0.44527167 0.7486731  0.70235839 ... 0.3518811  0.43454536 0.3405044 ],[0.29100238 0.66443462 0.74201313 ... 0.42781724 0.43717711 0.33472938],[0.36661014 0.1778695  0.22515747 ... 0.327324   0.22360108 0.1652936 ],[1.68746235 1.7136883  1.88234552 ... 0.70893721 0.8350452  0.75744601],0.1221997219505129
[0.02738766 0.19178628 0.12485411 ... 0.33331698 0.36611978 0.34090213],[0.00947841 0.16404642 0.12596361 ... 0.40923374 0.44061719 0.35069671],[0.35705572 0.04190782 0.08591838 ... 0.42241745 0.46827373 0.44388922],[0.58336274 0.60081266 0.59374017 ... 0.77853614 0.83593041 0.92619641],0.12132960781191755
[0.00622556 0.03175154 0.0349012  ... 0.36312817 0.37854601 0.30330022],[0.03243789 0.01980236 0.05570099 ... 0.42781724 0.44058773 0.33280636],[0.12032851 0.04994596 0.10123915 ... 0.23209252 0.47578969 0.28750864],[0.16951122 0.23194314 0.13955467 ... 0.77275347 0.83727615 0.755312  ],0.12038779937825161
[0.31138764 0.66189819 0.81139349 ... 0.35435369 0.40161632 0.34012648],[0.13462871 0.81516953 1.00223076 ... 0.42116134 0.44137674 0.33148667],[0.14230621 0.11932029 0.09577122 ... 0.36895513 0.30559063 0.29440034],[1.37184869 1.55096326 1.91085917 ... 0.77404925 1.01352079 0.755312  ],0.11987635666232666
[0.02694616 0.03873629 0.05333683 ... 0.36338325 0.39752047 0.34698182],[0.00072634 0.03901677 0.04866803 ... 0.45438904 0.44238975 0.34566136],[0.27867101 0.21320763 0.3031177  ... 0.29298458 0.31387262 0.21100232],[0.227999   0.4199968  0.41035621 ... 0.77044944 0.81864158 0.77414358],0.11985400812462071
[0.00342116 0.09636632 0.09388283 ... 0.36632578 0.37853475 0.37156279],[0.00484721 0.10333332 0.10206276 ... 0.3954794  0.44082192 0.33371754],[0.21196117 0.08973253 0.11193128 ... 0.1790235  0.33822266 0.33244652],[0.25904404 0.357545   0.37938986 ... 0.77262733 0.83214907 1.2981318 ],0.11947132576313252
[0.00913647 0.05365239 0.0641368  ... 0.34592968 0.41930677 0.34478106],[0.00310635 0.06054663 0.08222634 ... 0.42316404 0.43983205 0.33459457],[0.13132118 0.20016308 0.19725133 ... 0.44240065 0.16936845 0.28714191],[0.16050654 0.14942704 0.14141882 ... 0.86098482 0.90486258 0.9923501 ],0.11940509899583536
[0.02076349 0.00914383 0.07425302 ... 0.35467055 0.38108234 0.35227903],[0.03280064 0.01747979 0.0461501  ... 0.42781724 0.43740543 0.34268476],[0.17238874 0.16469923 0.31085744 ... 0.46633292 0.42510219 0.20586184],[0.28458448 0.36483804 0.25310493 ... 0.98088884 0.77751555 0.87247781],0.1192366283674304
[0.04510731 0.01253837 0.02409627 ... 0.35183253 0.41509809 0.3056469 ],[0.04629388 0.02646585 0.02216389 ... 0.42781724 0.43757114 0.33555269],[0.09563206 0.07075079 0.1310427  ... 0.17178171 0.37540567 0.32404076],[0.02379242 0.1153497  0.11927682 ... 0.68642471 0.92428299 0.79292761],0.11985003173159378
