mean,median,lower_0025,upper_0975,mean_wql
[0.11875989 0.09762806 0.10557524 ... 0.1883871  0.19422084 0.20973747],[0.12710019 0.10104236 0.15110797 ... 0.12873456 0.13232571 0.16283102],[0.27109807 0.26738479 0.31580033 ... 0.03747956 0.0219621  0.03866713],[0.26860511 0.24102701 0.39195243 ... 0.71872826 0.99997601 0.65207646],0.10431580387301423
[0.092446   0.02662761 0.09536597 ... 0.38393585 0.39509972 0.33171223],[0.13366358 0.123116   0.00606214 ... 0.28809148 0.24408724 0.28391549],[0.41933522 0.406799   0.5631355  ... 0.27945058 0.45557325 0.24618812],[0.37066309 0.81711611 0.70464424 ... 1.57368193 1.52591021 1.42165349],0.10711338598204635
[0.0346874  0.24106395 0.3283431  ... 0.33928288 0.30991873 0.19960839],[0.04364632 0.1570501  0.23651409 ... 0.39940326 0.28552143 0.2622961 ],[0.45504401 0.61621394 0.75072759 ... 0.29564337 0.42542799 0.32456794],[0.42561308 0.28822344 0.35550982 ... 0.90112836 1.02623823 0.91627392],0.11356359628942286
[0.10415566 0.19448267 0.09215424 ... 0.36175196 0.31593617 0.18657332],[0.10379355 0.19547539 0.1463781  ... 0.4076658  0.28552143 0.15618133],[0.14592923 0.03307863 0.25768445 ... 0.45119094 0.37174788 0.3591186 ],[0.62276508 0.54996799 0.48423987 ... 1.10433335 1.2648348  1.06713007],0.11304779311450391
[0.07760324 0.15651528 0.18569446 ... 0.34578441 0.30816276 0.20967716],[0.02675318 0.14189396 0.14748332 ... 0.41265145 0.28552143 0.24067354],[0.33673343 0.30813912 0.36587735 ... 0.35082937 0.52411415 0.44038835],[0.85340164 0.74606735 0.79256298 ... 0.92875075 1.02410244 1.06713007],0.1110370602368776
[0.33444041 0.54427373 0.62050203 ... 0.32604815 0.27860267 0.20863167],[0.14605688 0.61770053 0.70432019 ... 0.38960961 0.24143248 0.21761341],[0.19389497 0.2333703  0.32016605 ... 0.35992005 0.31118168 0.35950025],[1.28342219 1.44663113 1.78463145 ... 0.90157221 0.80513885 0.91834487],0.11040267129520093
[0.44920768 0.78041239 0.80804562 ... 0.29104867 0.2852607  0.17753856],[0.1458753  0.91261383 0.8845691  ... 0.41948588 0.24281947 0.19400462],[0.18405812 0.19150759 0.2783447  ... 0.44726776 0.34427203 0.5232272 ],[1.80160659 1.89956459 1.7933243  ... 1.05079219 1.1755118  1.06841057],0.10884387500767082
[0.10958516 0.00253628 0.11314579 ... 0.37657307 0.21656158 0.22520597],[0.07295817 0.04584245 0.14358164 ... 0.42162478 0.24287296 0.29872613],[0.40878453 0.41862816 0.43554932 ... 0.32593001 0.51026482 0.36240776],[0.36468866 0.39796483 0.55917245 ... 1.11431145 0.88007928 0.91687511],0.10769899401546876
[0.03575952 0.05243208 0.06176483 ... 0.36735197 0.26337849 0.22102191],[0.02022941 0.04480105 0.0629651  ... 0.41776752 0.24565486 0.31284858],[0.14996436 0.20503234 0.21256943 ... 0.28152651 0.31599908 0.43554928],[0.25279381 0.2088072  0.39712931 ... 1.28885173 0.87921168 1.0209567 ],0.10664335425574772
[0.00111302 0.09325068 0.071331   ... 0.31985955 0.22536904 0.17359751],[0.03475075 0.0673163  0.06788576 ... 0.35961399 0.23987242 0.1826282 ],[0.19443124 0.03541248 0.08508074 ... 0.27245023 0.42443009 0.44505364],[0.19964219 0.28205877 0.21912473 ... 1.20449351 0.87638638 0.91595245],0.1064351945340471
