mean,median,lower_0025,upper_0975,mean_wql
[0.07924217 0.20321209 0.21721701 ... 0.16528883 0.17403696 0.14338875],[0.06575685 0.19312302 0.17992223 ... 0.12518356 0.11226777 0.09850614],[0.18090144 0.29256985 0.37245897 ... 0.04526957 0.02794372 0.01657043],[0.05082705 0.09367619 0.02498154 ... 0.44708707 0.77302947 0.34916269],0.08668007567173379
[0.06359623 0.07128683 0.09739945 ... 0.16183427 0.13487315 0.10224893],[0.08643966 0.06556403 0.10730148 ... 0.17474575 0.14637098 0.07461894],[0.12650602 0.16940024 0.22751816 ... 0.02102731 0.01255193 0.00974699],[0.08310988 0.15877256 0.11949037 ... 0.34591355 0.26191051 0.26218386],0.0943034264601857
[0.08645929 0.02622524 0.05380999 ... 0.36614249 0.27331367 0.42123185],[0.06438388 0.15072318 0.05981519 ... 0.2707872  0.25326495 0.15080643],[0.41933522 0.46985214 0.49904488 ... 0.05510001 0.0233793  0.02161943],[0.31553766 0.59498507 0.49626219 ... 1.36339483 0.93198151 1.79804016],0.10146035097996774
[0.02605842 0.10164539 0.15137061 ... 0.34036687 0.39384912 0.22297987],[0.05450444 0.04210488 0.11423449 ... 0.34852399 0.40992886 0.14825342],[0.29630709 0.61729743 0.62321107 ... 0.00551826 0.01076447 0.00509271],[0.69975209 0.85771991 0.42636724 ... 0.92417323 0.88899031 0.70253492],0.10731629444220464
[0.06190744 0.14067708 0.1987249  ... 0.36848807 0.36408006 0.2607958 ],[0.06084226 0.10357398 0.1938057  ... 0.42413983 0.39590643 0.22460946],[0.29221508 0.42252385 0.37730809 ... 0.05218518 0.05354864 0.0478078 ],[0.27392432 0.2704671  0.14918045 ... 0.90886245 0.87101949 0.85121163],0.11005621576224095
[0.13214615 0.17476262 0.10894061 ... 0.37844874 0.37226917 0.27695966],[0.13746664 0.24604536 0.19296341 ... 0.40138315 0.39590643 0.22845115],[0.14592923 0.11310536 0.24111549 ... 0.01470154 0.009248   0.02815238],[0.37293943 0.54709731 0.4704443  ... 0.95045121 0.79830766 0.84922536],0.10989819986179067
[0.04836173 0.10808493 0.04922901 ... 0.38366377 0.3947204  0.2366941 ],[0.05347201 0.10251664 0.0024555  ... 0.42413983 0.39590643 0.14102712],[0.15052919 0.00183276 0.09453542 ... 0.02228944 0.00361583 0.01752438],[0.42804621 0.41710532 0.56795569 ... 0.90886245 0.87101949 0.84889532],0.10971944378961214
[0.07401972 0.26266629 0.2011823  ... 0.35466834 0.37295487 0.22369053],[0.00260029 0.28579817 0.05885239 ... 0.3771082  0.39590643 0.13012046],[0.23981758 0.02608032 0.03416241 ... 0.00466233 0.01268104 0.078729  ],[0.6926444  0.72768813 0.91121139 ... 0.90886245 0.71264836 0.7002218 ],0.10929886172292297
[0.61287311 0.74301155 0.74923789 ... 0.37399189 0.35881787 0.24654986],[0.50125679 0.76096443 0.94130862 ... 0.37930855 0.35332349 0.22290198],[0.14904459 0.23000326 0.25333739 ... 0.01115431 0.0165494  0.03964974],[2.22138659 1.57970692 1.78463145 ... 0.9393473  1.04841285 0.84889532],0.10918238329915629
[0.94417398 1.22763719 1.19261629 ... 0.36746196 0.34410119 0.25593912],[1.04190506 1.17181441 1.44221634 ... 0.42413983 0.38963779 0.22290198],[0.12689637 0.01878046 0.09519576 ... 0.00066168 0.03361087 0.03772228],[2.45361393 2.82268911 2.80702711 ... 0.84131058 0.87101949 1.00167593],0.10739208384042304
