mean,median,lower_0025,upper_0975,mean_wql
[0.07487496 0.13542236 0.13056262 ... 0.07516395 0.04262094 0.82988376],[0.11634474 0.12710282 0.14760284 ... 0.11623605 0.11913187 0.08286937],[0.30687412 0.54711422 0.41427853 ... 0.37942036 0.3167342  0.34453334],[0.37077414 0.16946092 0.24497662 ... 0.5092232  0.27706832 1.46087774],0.07276698586509617
[0.06602857 0.20354656 0.18101736 ... 0.0974664  0.09512117 0.06088597],[0.06575685 0.19312302 0.15232904 ... 0.11329245 0.11591367 0.069304  ],[0.18090144 0.29256985 0.36391914 ... 0.14274478 0.13522628 0.11947639],[0.10839934 0.08587089 0.02566271 ... 0.01265389 0.05223956 0.06514748],0.06158317629394151
[0.03594962 0.0523241  0.10247982 ... 0.08155426 0.08184911 0.04453101],[0.02990199 0.05644025 0.05041117 ... 0.09690927 0.09933815 0.06632729],[0.15788048 0.22079528 0.52496024 ... 0.12233026 0.12707661 0.09303803],[0.26860511 0.21918844 0.49819354 ... 0.03613884 0.03404537 0.09765216],0.058763843115146236
[0.08992495 0.01023153 0.15097707 ... 0.14850947 0.14184283 0.14269843],[0.08522829 0.01010535 0.05796053 ... 0.1509383  0.14578967 0.1460686 ],[0.08643966 0.17142553 0.52633647 ... 0.39757647 0.60392757 0.47916215],[0.3678969  0.30303715 0.39737369 ... 0.06490849 0.15875773 0.10691485],0.06270081219597874
[0.09024408 0.08238803 0.10778466 ... 0.10359032 0.10112564 0.07115613],[0.11479311 0.11801199 0.10841561 ... 0.11338758 0.11221567 0.08473697],[0.35153808 0.3827344  0.62610693 ... 0.17001343 0.16379312 0.13723259],[0.25895445 0.54710305 0.520968   ... 0.03430306 0.03503036 0.00109211],0.06525109456196428
[0.01380865 0.21026388 0.13631032 ... 0.05603079 0.05924171 0.03682097],[0.00661199 0.2126518  0.1510596  ... 0.05704163 0.05981496 0.02875953],[0.19926995 0.14432694 0.28738598 ... 0.10714123 0.12346986 0.09352546],[0.13949453 0.46533305 0.59577428 ... 0.01789808 0.01419321 0.00802726],0.06266654913863003
[0.00513102 0.03837829 0.01011799 ... 0.08238516 0.09083659 0.04409032],[0.00590656 0.04317631 0.00428561 ... 0.08763223 0.10288682 0.07065505],[0.06626444 0.14704148 0.18425934 ... 0.30699902 0.34286985 0.24941157],[0.06517608 0.06917409 0.17858861 ... 0.16886939 0.16485016 0.32985669],0.06133173462587613
[0.03068626 0.07993812 0.04625319 ... 0.12950343 0.1412264  0.08328333],[0.03275017 0.07218093 0.04429549 ... 0.13046182 0.13238535 0.10522376],[0.09343377 0.20611014 0.20536336 ... 0.34784599 0.44324389 0.40347217],[0.18542324 0.29796367 0.3173939  ... 0.06677426 0.12448686 0.25270459],0.058763931743689275
[0.11677023 0.03473424 0.01777853 ... 0.10152744 0.0856613  0.07804413],[0.09154734 0.02676391 0.04190516 ... 0.09219588 0.10446501 0.07390653],[0.19081649 0.27473937 0.41989924 ... 0.44393838 0.35080293 0.25517895],[0.29899602 0.26608412 0.24501799 ... 0.09509628 0.31038594 0.13359614],0.05658122861042793
[0.06140468 0.0275951  0.08383387 ... 0.06906722 0.09115731 0.05553452],[0.05397454 0.00717966 0.0909321  ... 0.08761416 0.09550352 0.06670036],[0.14741419 0.28878211 0.41748058 ... 0.29045854 0.39159667 0.29005132],[0.31467578 0.40460022 0.23617781 ... 0.12908957 0.17785061 0.24126272],0.05655767962907786
[0.0278925  0.02703451 0.03429794 ... 0.08387386 0.07947683 0.06077655],[0.01426743 0.02560588 0.02551549 ... 0.09324096 0.08801256 0.05114363],[0.20977763 0.25778763 0.35951785 ... 0.31477425 0.36792131 0.38796352],[0.11521494 0.25281766 0.2666019  ... 0.13659596 0.12624289 0.20488802],0.05640389628431444
[0.0656332  0.18691587 0.1984388  ... 0.09152408 0.09001394 0.05074804],[0.07864103 0.23766792 0.19719241 ... 0.09374601 0.0959961  0.05623844],[0.15230952 0.18116617 0.24768596 ... 0.34041209 0.35295451 0.27196524],[0.27809421 0.56728976 0.91550916 ... 0.09990095 0.1115742  0.19853524],0.05653035077728156
[0.03822531 0.10929261 0.10161829 ... 0.07353311 0.07595253 0.08548868],[0.03015195 0.10965122 0.10263482 ... 0.08995321 0.08026112 0.08828949],[0.83968503 0.82704598 1.07486776 ... 0.34134249 0.29961076 0.30958314],[0.68098558 0.54257743 0.57954617 ... 0.3267441  0.22928971 0.1705516 ],0.056215072284532944
[0.03280903 0.02728544 0.04704309 ... 0.08855572 0.07876768 0.07144017],[0.03653158 0.02137119 0.03044631 ... 0.09499365 0.09175121 0.06042838],[0.2232849  0.1997638  0.37825807 ... 0.26346112 0.33348899 0.36322292],[0.22736003 0.24157332 0.33477335 ... 0.12047156 0.31129664 0.19374257],0.05640893739209813
[0.06397517 0.00741168 0.04807553 ... 0.09989809 0.06575187 0.07356612],[0.06377904 0.02227875 0.02889558 ... 0.0954657  0.08334807 0.06416391],[0.10118608 0.22608614 0.22234863 ... 0.35376139 0.35265467 0.38930453],[0.24408496 0.24098392 0.3458898  ... 0.15114944 0.20292884 0.13514361],0.05645112095412381
