mean,median,lower_0025,upper_0975,mean_wql
[0.14542368 0.1372523  0.16199426 ... 0.0589978  0.02998368 0.10805519],[0.15425579 0.1530705  0.1463578  ... 0.10655056 0.11444392 0.13707374],[0.29796843 0.36725415 0.39642569 ... 0.38979468 0.31432073 0.35585529],[0.06218821 0.02225149 0.02531565 ... 0.41848584 0.38926853 0.52078801],0.10664472943377137
[0.0232347  0.03998433 0.02932803 ... 0.26563022 0.22272246 0.36213337],[0.05418094 0.15072318 0.07949824 ... 0.22401601 0.19129274 0.29076452],[0.41933522 0.33172492 0.74164574 ... 0.33105308 0.42499897 0.33376706],[0.49798348 0.59498507 0.70523336 ... 1.10976568 1.1449481  1.44225846],0.11387640032812711
[0.07062169 0.03357509 0.04967379 ... 0.02600363 0.08192804 0.00947288],[0.09038887 0.02523918 0.04987197 ... 0.06080374 0.06951662 0.05614488],[0.28403881 0.34440476 0.36977968 ... 1.29197548 1.31849145 1.54821882],[0.29611956 0.27064549 0.20586669 ... 0.83172526 0.83794925 1.30081432],0.10205799232183062
[0.11697458 0.23407367 0.17882448 ... 0.18316353 0.0470142  0.05720832],[0.1072536  0.22809615 0.17013196 ... 0.07385121 0.01631513 0.02094206],[0.09156973 0.09530075 0.17445173 ... 1.86745617 1.51658911 1.51857967],[0.39492947 0.59030818 0.58419136 ... 0.78848978 1.05468728 1.1898286 ],0.10114384693834959
[0.05437475 0.05065862 0.07173336 ... 0.00195997 0.09411493 0.02314965],[0.03129335 0.04509748 0.13385217 ... 0.03981717 0.05813124 0.0233096 ],[0.82866238 0.98773057 0.79138814 ... 1.1573585  1.04612673 1.54617106],[0.66412885 0.79218251 1.02264978 ... 1.3345806  1.7301617  0.97493392],0.10107268843398581
[0.02355055 0.01976202 0.08528199 ... 0.00346333 0.06098588 0.04879846],[0.01875923 0.0174238  0.07310364 ... 0.05465903 0.0320336  0.0250416 ],[0.28935731 0.30884796 0.44649767 ... 1.08171333 1.63407065 1.1389949 ],[0.22657853 0.24859303 0.7045418  ... 1.10220664 1.14228915 1.69800628],0.10123231404089707
[0.02511717 0.02919496 0.05329627 ... 0.07230406 0.04996708 0.06223326],[0.02630779 0.03310236 0.03173566 ... 0.02017454 0.04029972 0.01379467],[0.14582066 0.27566065 0.54148993 ... 1.87166902 1.63253656 1.42898239],[0.24831984 0.27110674 0.28354908 ... 1.18518052 1.72405089 1.02463666],0.10107352100634381
[0.13715733 0.13087451 0.15867357 ... 0.11880272 0.08645851 0.0918106 ],[0.14335755 0.12861009 0.15594931 ... 0.04044856 0.09573222 0.06471125],[0.27634799 0.44299296 0.56987154 ... 0.83621429 1.19151747 1.88918013],[0.04360675 0.13386357 0.21306605 ... 2.41061395 0.88473797 1.20332736],0.10003934302216472
[0.12892353 0.00975202 0.08752476 ... 0.03936755 0.04859516 0.06688748],[0.12086428 0.0161328  0.01297728 ... 0.0040556  0.01489412 0.06072178],[0.14996436 0.24477444 0.64311474 ... 1.47688383 1.61907359 1.00847837],[0.46685983 0.59415582 0.48638349 ... 1.06600866 0.87865945 1.32504759],0.10023804006030201
[0.01657273 0.00574063 0.0005299  ... 0.06642197 0.02051161 0.02681972],[0.01639578 0.00556303 0.00064905 ... 0.03687053 0.01575887 0.00572105],[0.07557991 0.11798477 0.1782595  ... 1.4134522  1.25360681 1.18305479],[0.04278919 0.10853229 0.16864802 ... 1.18340953 1.05501962 1.31098079],0.09955674330068488
[0.05760959 0.08274111 0.01474395 ... 0.00545322 0.06995242 0.00412793],[0.0315399  0.05397671 0.00553568 ... 0.02356578 0.01814855 0.04452774],[1.2334648  2.04898762 1.91016275 ... 1.63093041 1.49776422 1.04566632],[1.68898626 1.43532865 1.46672686 ... 1.26165546 1.2647084  1.38321522],0.09937413628225304
[0.01023675 0.04658282 0.02134131 ... 0.03425851 0.04957353 0.01349667],[0.01079058 0.06067554 0.0287351  ... 0.03540811 0.03858655 0.0098507 ],[0.0664853  0.1540447  0.26571594 ... 1.395042   1.37892341 0.90798387],[0.10624439 0.23196577 0.26326705 ... 0.90940593 1.3524251  1.23862165],0.09958823018446801
[0.02525296 0.04956504 0.09883642 ... 0.02729872 0.00787701 0.11667686],[0.03842574 0.04976869 0.09717795 ... 0.03006286 0.03685244 0.13470041],[0.23592268 0.26907705 0.33795696 ... 1.17763132 1.52416284 1.05836758],[0.25459468 0.39389549 0.55099268 ... 1.3245244  1.72608293 1.44533014],0.09953316093163903
[0.02179825 0.03535115 0.03680149 ... 0.0188868  0.06154209 0.00976973],[0.02216755 0.03477564 0.00898015 ... 0.00351468 0.01953907 0.01477052],[0.10363766 0.18948771 0.26184226 ... 1.60824462 1.30820352 1.06258313],[0.15593426 0.37078785 0.6999873  ... 1.77031131 1.20710093 1.12995112],0.09971536761273296
[0.06261721 0.11379433 0.07340634 ... 0.03152818 0.04466994 0.14228697],[0.0635872  0.13115322 0.10185185 ... 0.01373818 0.0280011  0.0514471 ],[0.28405333 0.37947663 0.43958125 ... 1.49258053 1.03443449 1.00229567],[0.19273812 0.45852118 0.46252799 ... 1.06197084 1.27123605 1.25376896],0.09907559518944156
[0.23699054 0.18262449 0.15368266 ... 0.00252641 0.08355967 0.21279068],[0.22215989 0.16911472 0.15351995 ... 0.05547422 0.04261987 0.01030088],[0.07790175 0.00852414 0.05780783 ... 0.94722946 1.78316949 1.67028036],[0.37068804 0.37237087 0.35444706 ... 0.82298583 0.86895154 1.49670068],0.09944867594932044
[0.1518682  0.11403081 0.15847726 ... 0.03538001 0.03165823 0.00208316],[0.16551565 0.15973116 0.15827584 ... 0.00526322 0.00713761 0.03830633],[1.03987206 0.84796018 0.90266695 ... 1.46023827 1.2764029  1.29987527],[0.67209556 0.57983004 0.52920428 ... 0.78294255 2.07509123 1.17780278],0.0994368639089665
[0.25657522 0.239292   0.34627275 ... 0.01823952 0.11245852 0.053542  ],[0.28893027 0.26228266 0.39041486 ... 0.04969648 0.03715052 0.04237154],[1.59789525 1.07979064 1.58705581 ... 0.85756061 1.23757771 1.3301032 ],[1.55319755 1.96947407 1.84796904 ... 1.11837487 1.29291519 1.12495472],0.09960146903067152
[0.1413446  0.17377879 0.199658   ... 0.0415683  0.06015546 0.01589828],[0.13811055 0.16004076 0.15774015 ... 0.03890126 0.00712566 0.02168789],[0.07793646 0.23921701 0.32563658 ... 1.26522184 1.31129544 2.07223617],[0.42382467 0.89988814 1.15018304 ... 1.04125367 1.50462997 1.10071418],0.0986640588768589
"[7.51771691e-02 4.62041943e-02 9.69055575e-02 ... 9.22327499e-05
 2.26303888e-03 1.08514292e-05]",[0.08112107 0.05931545 0.11801315 ... 0.00033995 0.02661998 0.02005631],[0.11736768 0.27468732 0.40681179 ... 1.11639187 1.02651734 1.41879049],[0.23285088 0.36293988 0.62389212 ... 1.22921475 1.1353861  1.96182881],0.09914307454023502
[0.03005443 0.04258217 0.04039294 ... 0.07556668 0.0057615  0.04051924],[0.03060413 0.05087636 0.05114252 ... 0.01544365 0.02409212 0.02855319],[0.07061718 0.13032217 0.25045107 ... 1.21247605 1.56058574 1.10837992],[0.13051374 0.1847614  0.27956911 ... 1.67106884 1.4027896  1.31610911],0.09902633170873502
