mean,median,lower_0025,upper_0975,mean_wql
[0.2214222  0.36997153 0.28314787 ... 0.01920187 0.00503595 0.03606359],[0.23115698 0.34032162 0.32938722 ... 0.04429185 0.07592496 0.05126499],[0.68820186 1.25970725 0.71377214 ... 1.05795968 1.08073444 0.90334428],[0.38685626 0.09486512 0.19351875 ... 0.73837792 0.85615576 0.89720759],0.09446551199312128
[0.09646433 0.00400623 0.10300854 ... 0.09452371 0.05282739 0.07336554],[0.08350855 0.01450791 0.02292482 ... 0.06875246 0.05932451 0.05644013],[0.08643966 0.17569866 0.52126303 ... 0.18089134 0.18175291 0.17071448],[0.3678969  0.44730187 0.27096632 ... 0.49508961 0.37045528 0.32876466],0.08405747551403679
[0.03246145 0.06882215 0.04018424 ... 0.18167955 0.16632576 0.15461649],[0.05418094 0.18248147 0.14842026 ... 0.19541047 0.18300285 0.16305478],[0.41933522 0.33858779 0.74467151 ... 0.05432235 0.04420026 0.02523167],[0.49355039 0.60053835 0.70464424 ... 0.36716216 0.32713347 0.33226352],0.08931117526404787
[0.05272762 0.06537519 0.11228434 ... 0.01387398 0.02603904 0.01709242],[0.05596442 0.06596556 0.11700934 ... 0.00308829 0.00555343 0.0314384 ],[0.18982645 0.31456527 0.35580469 ... 0.56498799 0.47259813 0.67970689],[0.11553199 0.09486525 0.11655499 ... 0.62790925 0.86035431 0.58625913],0.07978878770427937
[0.01504587 0.00524899 0.09220797 ... 0.00702357 0.07414054 0.01667414],[0.0031854  0.01198993 0.08138739 ... 0.02555629 0.02590022 0.00287439],[0.25855203 0.21853383 0.36682441 ... 0.64176853 0.46326231 0.74469079],[0.10104966 0.18772481 0.1412507  ... 0.60079126 0.87243927 0.51304904],0.07755253758769781
[0.1105975  0.22117756 0.17362761 ... 0.03432608 0.00471411 0.01730733],[0.10291222 0.22816533 0.17035805 ... 0.03038718 0.03826032 0.00824301],[0.13849641 0.15051722 0.29302168 ... 0.52189677 0.88467226 0.74769839],[0.38899872 0.56384109 0.65831925 ... 0.59647333 0.62829165 0.61722842],0.07783533132145205
[0.11048643 0.2604361  0.18471839 ... 0.03284876 0.02532008 0.0149154 ],[0.19167285 0.23797705 0.20503167 ... 0.03946516 0.03135404 0.00414417],[0.84972997 1.00347843 0.75851001 ... 0.69446934 0.67292695 0.6838397 ],[0.51847361 0.41555414 0.5441937  ... 0.68185927 0.6267705  0.51971691],0.07748246394193319
[0.0297884  0.00824871 0.00143206 ... 0.03874293 0.00880621 0.01254491],[0.03048339 0.0142959  0.00141629 ... 0.05135653 0.00956401 0.00544218],[0.09174803 0.1793949  0.23647008 ... 0.60994747 0.97687348 0.84640262],[0.04562348 0.1629021  0.22173644 ... 0.51029247 0.83913126 0.48799386],0.077441014834058
[0.01835336 0.01327825 0.05533851 ... 0.02038445 0.09316712 0.01518193],[0.01171602 0.0250693  0.0565099  ... 0.03083578 0.08251518 0.0458412 ],[0.2519023  0.28849618 0.37248987 ... 0.82379729 0.61406346 0.68656565],[0.18543338 0.33179428 0.53902068 ... 0.48908221 0.69069864 0.59301917],0.07739748536657715
[0.10422135 0.1222996  0.10236998 ... 0.06170559 0.07999335 0.0240096 ],[0.11565979 0.09757019 0.10026154 ... 0.07549927 0.00153186 0.003561  ],[0.16908007 0.37753476 0.63840668 ... 0.4829156  0.45493774 1.03580885],[0.30250333 0.75102793 0.72895352 ... 0.53221856 0.95672065 0.82157459],0.07690341227039546
[0.11725483 0.09804657 0.10781138 ... 0.00871618 0.09880338 0.04155707],[0.1178963  0.11399996 0.13211073 ... 0.04598232 0.01991277 0.00316126],[0.22868495 0.27893816 0.38504615 ... 1.01000087 0.63149282 0.56011525],[0.01396047 0.15260194 0.50952246 ... 0.57956416 0.92316418 0.90613924],0.07728475080773077
[0.13868375 0.12205918 0.1496679  ... 0.05654396 0.03290638 0.03008074],[0.15251703 0.11375801 0.17490372 ... 0.02635765 0.05685944 0.01878753],[0.26868926 0.47844039 0.5135594  ... 0.75509495 0.65763317 0.73369705],[0.04335901 0.15964187 0.23902079 ... 0.92313397 0.58340972 0.75300947],0.07699108429578203
[0.07256213 0.16930519 0.20804967 ... 0.03706001 0.01760492 0.01020697],[0.07913971 0.17625014 0.1889071  ... 0.04603296 0.01043446 0.02033713],[0.18681708 0.12586053 0.15113371 ... 0.54953626 0.70312254 0.77842774],[0.21625333 0.34401573 0.50745112 ... 0.59812192 0.69848437 0.94721198],0.07674085096297913
[0.02376036 0.01063741 0.02425318 ... 0.05018443 0.13920724 0.07742852],[0.02000887 0.0245704  0.02185201 ... 0.04638673 0.05235364 0.01366473],[0.17163928 0.38745626 0.27855106 ... 0.53385262 0.58590181 1.26523169],[0.21827016 0.23264346 0.3732705  ... 0.51958686 1.0650035  0.64733079],0.07637220704600006
[0.01793698 0.00887831 0.00398173 ... 0.07856368 0.04419976 0.0084404 ],[0.01791327 0.01204214 0.0021548  ... 0.05080587 0.04741079 0.00595751],[0.08271191 0.12645059 0.13728573 ... 0.41586264 0.55616309 0.77596686],[0.04514381 0.12770859 0.23675715 ... 0.72662383 0.64302814 0.74049601],0.07661259198695741
[0.00912251 0.16346572 0.12990956 ... 0.04132806 0.00512436 0.02478651],[0.00622484 0.15085688 0.13567872 ... 0.00454306 0.01862675 0.00855347],[0.08437804 0.00634904 0.19357297 ... 0.59400799 0.57941912 0.42388916],[0.10527838 0.42793378 0.37221971 ... 0.62068948 0.52667751 0.67631717],0.07630516779555842
[0.16395972 0.11121502 0.08850954 ... 0.03982713 0.06783692 0.04350105],[0.17053813 0.13919546 0.11228971 ... 0.04428057 0.02744068 0.00388954],[1.47606641 1.57358555 2.1735378  ... 0.60456974 0.61888202 0.6685529 ],[1.19743393 1.65377952 2.599834   ... 0.68255569 0.78069022 0.7637282 ],0.07620659913187844
[0.00317218 0.05735421 0.00479941 ... 0.06364092 0.03088931 0.02653391],[0.01012222 0.05348096 0.03193039 ... 0.04193839 0.03240506 0.01546612],[0.11913154 0.11803636 0.27348908 ... 0.4225802  0.63909408 0.73109055],[0.14536662 0.22297471 0.2989293  ... 0.64724698 0.74639696 0.61420777],0.0764995497872613
[0.00919837 0.01011447 0.00273387 ... 0.03275622 0.06312667 0.04079418],[0.00743967 0.01253195 0.00956865 ... 0.05480721 0.062405   0.03052184],[0.08697427 0.1306699  0.21287356 ... 0.70142913 0.52941479 0.64233831],[0.0529538  0.10120117 0.21040449 ... 0.69530265 0.62839438 0.82061496],0.07625153512121333
[0.0095046  0.0695184  0.02903189 ... 0.03831162 0.05847095 0.02918412],[0.0087955  0.05977218 0.01788399 ... 0.02371849 0.02172033 0.03638359],[0.23890882 0.37542001 0.4067567  ... 0.65198717 0.59842249 0.72208891],[0.28835031 0.3237724  0.46868071 ... 0.71927448 0.79635505 0.80847937],0.07642774153856025
[0.02638634 0.00149135 0.01524386 ... 0.05225963 0.01319587 0.0248611 ],[0.02524659 0.02469916 0.01430851 ... 0.06519781 0.0029311  0.01846208],[0.127981   0.20973161 0.35565596 ... 0.7050444  0.6651824  0.51097941],[0.16524545 0.27257514 0.38023689 ... 0.72722139 0.72336577 0.75723407],0.07643539832599405
[0.10086262 0.10080022 0.16866853 ... 0.0619914  0.02155607 0.00509601],[0.10266978 0.10452972 0.16862503 ... 0.07027014 0.03078521 0.01159239],[0.27548792 0.34091315 0.61259275 ... 0.63653273 0.91119651 0.7883251 ],[0.09034183 0.23121299 0.32047858 ... 0.96102466 0.70987652 0.71151268],0.0763908525178024
[0.05049236 0.05250753 0.03700659 ... 0.07271875 0.05266141 0.05167575],[0.06846855 0.05236668 0.0741672  ... 0.03028544 0.00067595 0.0316853 ],[0.24025702 0.2983462  0.3907142  ... 0.5519233  0.49285604 0.65806979],[0.20545475 0.28283333 0.38294427 ... 1.09413904 0.90871413 0.80481367],0.07607492327040002
[0.21562756 0.17538164 0.15970903 ... 0.09178149 0.03821882 0.01345503],[0.21789675 0.17419263 0.15397964 ... 0.05436329 0.03975104 0.0133723 ],[0.02127044 0.01111533 0.06222301 ... 0.67090162 0.65227452 0.79581907],[0.36906173 0.34485904 0.39100291 ... 1.43321338 0.66763028 0.58043938],0.07603837891501507
[0.13921734 0.18049842 0.2243287  ... 0.03192965 0.01253175 0.02190738],[0.11921842 0.15446259 0.17520999 ... 0.03940278 0.01578136 0.02971181],[1.10367059 1.3864866  1.33980629 ... 0.69682719 0.6410271  1.02899786],[0.6608859  0.60498501 1.12620462 ... 0.65446418 0.73451015 0.8946613 ],0.07611098498417762
