mean,median,lower_0025,upper_0975,mean_wql
[0.12992457 0.10325432 0.1284022  ... 0.16911449 0.16802721 0.19470834],[0.14285407 0.12689615 0.16713301 ... 0.1291053  0.12744372 0.13479625],[0.23880504 0.26407932 0.29866886 ... 0.04537488 0.00306337 0.07798976],[0.12644324 0.1894425  0.22389112 ... 0.44611226 0.54650417 0.43860536],0.10517689903677901
[0.09989893 0.02454502 0.01152274 ... 0.34097733 0.29791502 0.30811715],[0.07288771 0.15070156 0.08052807 ... 0.26982696 0.18397137 0.27994319],[0.24132252 0.45115894 0.51831127 ... 0.08672215 0.19163424 0.11886606],[0.31097323 0.59498507 0.70464424 ... 0.91452188 1.21762047 1.22575556],0.11231594984340193
[0.04311309 0.19763431 0.2728064  ... 0.42615278 0.28030562 0.33057502],[0.00689332 0.09754245 0.18736772 ... 0.35646974 0.18253825 0.31564256],[0.45504401 0.66585357 0.7058775  ... 0.29437479 0.52478754 0.42444769],[0.42014316 0.48669585 0.53646886 ... 1.50057018 1.21663085 1.23008614],0.12180549636985617
[0.10080399 0.15951771 0.08127412 ... 0.38747579 0.33742114 0.26643034],[0.0835498  0.23079066 0.17447474 ... 0.35951679 0.30699149 0.32169651],[0.14592923 0.09233866 0.25631909 ... 0.54575817 0.91414168 0.52250715],[0.36653365 0.54709731 0.47657873 ... 1.31668705 1.43679566 1.3726142 ],0.12107914390904582
[0.16312966 0.22024006 0.20425927 ... 0.34892094 0.30788629 0.21724864],[0.1068643  0.13124187 0.16310452 ... 0.36192017 0.28552143 0.31284858],[0.13328996 0.17082614 0.21042969 ... 0.68248472 0.44867528 0.45303225],[0.85463674 0.83145771 0.84545978 ... 1.20164925 1.17208872 0.91627392],0.12038908920858803
[0.4376193  0.61050452 0.74805015 ... 0.34729978 0.25543661 0.27765479],[0.17740166 0.61500314 0.94130862 ... 0.3644618  0.24658552 0.3193428 ],[0.250838   0.21306197 0.1909923  ... 0.4707697  0.50715558 0.27684191],[1.50599395 1.70896108 1.50352384 ... 0.90112836 0.87638638 1.46276491],0.12036324759361532
[0.65930255 1.09509557 0.89404473 ... 0.30871751 0.29080101 0.25757985],[0.26479031 1.02030412 1.01911449 ... 0.35950416 0.28793783 0.31284858],[0.17801654 0.17172421 0.26629944 ... 0.70400618 0.44167715 0.47707553],[2.27841031 2.41419264 1.78808591 ... 1.05079219 1.1718189  1.31629275],0.11881375496050037
[0.08510927 0.01657791 0.07286941 ... 0.34906908 0.30183371 0.36872791],[0.11671452 0.02521203 0.1436764  ... 0.36269918 0.28552143 0.34694607],[0.3055445  0.28472287 0.34866958 ... 0.50465048 0.37286383 0.35297131],[0.36468866 0.47054659 0.55638645 ... 1.0545338  1.01470161 1.46040274],0.117950434343128
[0.0494675  0.08139263 0.03868227 ... 0.39989957 0.30016815 0.23056846],[0.04637049 0.01997603 0.0171894  ... 0.36155952 0.28941958 0.32825187],[0.14996436 0.27322914 0.1922155  ... 0.4454275  0.60097031 0.55003983],[0.24782149 0.2088072  0.20505334 ... 1.34491684 1.02410244 1.06713007],0.1177146874751903
[0.01977977 0.09888347 0.09368358 ... 0.3340516  0.36319577 0.33726712],[0.03475075 0.07105323 0.06075759 ... 0.37524139 0.28612198 0.3297789 ],[0.20290085 0.00770311 0.02488339 ... 0.48425654 0.53860295 0.25338736],[0.19964219 0.37386391 0.38194534 ... 0.98474067 1.41394275 1.67056612],0.11783120853125308
[0.36184882 0.47583012 0.39464717 ... 0.33763004 0.29323007 0.20471795],[0.44834284 0.58232993 0.51362316 ... 0.37493632 0.28552143 0.31284858],[0.01318126 0.05847823 0.15706381 ... 0.33267728 0.26522938 0.51827345],[1.4095995  1.06016889 1.01804395 ... 0.90112836 0.94798375 1.06713007],0.11682540841542055
[0.08221965 0.21964371 0.15671701 ... 0.35551398 0.31075386 0.17721991],[0.09228367 0.17982023 0.11219101 ... 0.36724115 0.17462344 0.2892461 ],[0.13238771 0.00540255 0.04785302 ... 0.38394923 0.56558557 0.61817416],[0.55524469 0.81016373 0.57940219 ... 1.35102714 1.05707784 1.06713007],0.11639365835112131
[0.23281468 0.41697303 0.42913667 ... 0.39692773 0.29219255 0.22071473],[0.26683906 0.471541   0.46883244 ... 0.35552516 0.28552143 0.31284858],[0.08758982 0.05954982 0.13605253 ... 0.41767392 0.37891024 0.48129862],[0.67739182 0.83393683 0.90552788 ... 1.42042722 1.03339825 1.06912366],0.11639239156604637
[0.26703935 0.60657596 0.4167457  ... 0.31435261 0.27001497 0.20271503],[0.39500232 0.43125301 0.48138412 ... 0.3585514  0.28552143 0.31237456],[0.19648906 0.12169357 0.20413481 ... 0.58381289 0.50746448 0.45233389],[1.04609964 1.25067571 1.1546672  ... 1.18436063 0.89781316 1.06713007],0.11627520526113859
[0.26845688 0.3935864  0.47880524 ... 0.41765277 0.40193001 0.21513178],[0.01734432 0.31992467 0.30943306 ... 0.3620138  0.29346291 0.31284858],[0.46251692 0.17353406 0.1650494  ... 0.41626513 0.58874509 0.46782432],[2.49774607 1.38114605 2.41448376 ... 1.05079219 1.24990756 1.218733  ],0.11455211300904228
[0.32159063 0.31182008 0.31398206 ... 0.32416044 0.28750106 0.1864791 ],[0.28207165 0.2568302  0.2372458  ... 0.35054759 0.28702454 0.28351164],[0.04652161 0.08625808 0.04952396 ... 0.523116   0.65768451 0.72448539],[0.88419672 1.07624415 1.1485162  ... 1.05079219 1.1755118  0.93227162],0.11550245800968215
