mean,median,lower_0025,upper_0975,mean_wql
[0.00518397 0.0533863  0.14621443 ... 0.34791252 0.35823869 0.3200485 ],[0.00599992 0.04848544 0.12001504 ... 0.39948038 0.38123298 0.28010569],[0.15505745 0.0942654  0.32725851 ... 0.26293906 0.39734459 0.59326858],[0.25497621 0.34893221 0.15354737 ... 0.90258542 0.82295977 1.12711369],0.1304327409105252
[0.02822849 0.14069521 0.18385278 ... 0.35011274 0.35727345 0.25947887],[0.03277659 0.15021846 0.11817901 ... 0.36495558 0.38108164 0.28647846],[0.19770569 0.43059346 0.58798322 ... 0.19955149 0.39301891 0.38729538],[0.34238653 0.31099796 0.35118842 ... 0.75159112 0.99685335 0.6977878 ],0.12876623628264827
[0.30698104 0.3130717  0.23525783 ... 0.28496179 0.35183185 0.30402682],[0.11514054 0.35995552 0.33417902 ... 0.36495558 0.38103267 0.2850712 ],[0.09985063 0.16550594 0.32728912 ... 0.59386233 0.24977812 0.29048404],[1.07959    0.92292889 0.63065238 ... 0.66413281 0.80069097 0.79600468],0.12778265866587155
[0.12847547 0.27602535 0.2236377  ... 0.33389368 0.34970911 0.30333995],[0.10707713 0.33634308 0.26046435 ... 0.39526391 0.37964278 0.28543084],[0.19978611 0.12448799 0.1921763  ... 0.4799227  0.42836368 0.55657751],[0.47099068 0.54382858 0.59189536 ... 0.79163148 0.95636424 0.89071345],0.12689925855076992
[0.09027735 0.30160994 0.23496744 ... 0.33360858 0.31493577 0.24823076],[0.02189255 0.29810704 0.25058762 ... 0.36495558 0.37816973 0.28183388],[0.45003215 0.12765744 0.15040124 ... 0.45635338 0.70223288 0.66785787],[0.8795149  0.88144959 0.81006452 ... 0.81456927 0.87798382 0.82973047],0.12451606753868943
[0.02035565 0.04187371 0.06673772 ... 0.33362908 0.34195824 0.31689395],[0.0225303  0.05751552 0.03136856 ... 0.36495558 0.37789627 0.30245253],[0.19334414 0.1927201  0.34066211 ... 0.36010079 0.40076981 0.33133399],[0.29235645 0.29335624 0.33781162 ... 0.83680886 0.93555314 0.94409142],0.1231548725931664
[0.04073529 0.10344184 0.09850205 ... 0.35939796 0.40238678 0.27607507],[0.04418568 0.07940575 0.07244208 ... 0.36707718 0.37756428 0.28338923],[0.10615984 0.03137877 0.03135843 ... 0.28954664 0.17643081 0.345218  ],[0.29166616 0.30049819 0.30814806 ... 0.79316745 0.93909975 0.68360623],0.12282250062402225
[0.01151041 0.02948148 0.05641727 ... 0.34060732 0.37933367 0.27377014],[0.00540982 0.01338104 0.03671185 ... 0.39101276 0.37806948 0.2847356 ],[0.10271532 0.07361082 0.03813001 ... 0.44278381 0.20632979 0.48545468],[0.10608906 0.20836907 0.24165002 ... 0.81372143 0.81499415 0.81496033],0.12156795834614015
[0.08032258 0.20227516 0.26723207 ... 0.25308219 0.36882515 0.28397895],[0.01615595 0.20679952 0.29264404 ... 0.36853567 0.37880203 0.30134695],[0.02121618 0.03763999 0.08821439 ... 0.4185975  0.2439863  0.21911694],[0.28926653 0.39711347 0.41932209 ... 0.73988604 0.94829123 0.87369228],0.12120169536987764
[0.32694284 0.34946966 0.42302876 ... 0.32970304 0.33140758 0.2939218 ],[0.29048596 0.32193901 0.37737112 ... 0.36495558 0.3792215  0.28168104],[0.2063199  0.22740112 0.27283521 ... 0.3197305  0.15046558 0.32233907],[0.59469695 0.6096802  0.70576614 ... 0.66600267 0.72273037 0.70380357],0.12017321092006122
[0.01672124 0.02906402 0.00057953 ... 0.33065148 0.35765526 0.26426561],[0.03001423 0.00999633 0.02532628 ... 0.36495558 0.38261014 0.28096512],[0.06617671 0.100356   0.08463179 ... 0.25542328 0.38517899 0.33455972],[0.10248552 0.28875014 0.20434708 ... 0.74266674 0.87758631 0.64972886],0.11948157153276223
[0.00274883 0.00637868 0.04321896 ... 0.30758375 0.30068887 0.28447364],[0.02484019 0.00864833 0.05924079 ... 0.36661947 0.38251446 0.28148275],[0.04613336 0.05516205 0.10209035 ... 0.19042515 0.46328442 0.39457934],[0.15709811 0.14821607 0.09927262 ... 0.58933851 0.80015824 0.92997358],0.11882835242019096
[0.26868252 0.62083451 0.73081767 ... 0.31663303 0.36427709 0.25843562],[0.07399179 0.58398341 0.78291529 ... 0.36540056 0.38317371 0.27885011],[0.55390123 0.16225523 0.18910012 ... 0.27455409 0.18771296 0.45056919],[1.48582833 1.55081041 2.15419959 ... 0.66413281 0.72273037 0.72227341],0.11794838384725244
